
Melhores respostas:

Lista de triplas candidatas a resposta: 
0 16.210 [*soico_televisao | *fundacao | 2002 | *soico_televisao | *fundador | daniel david] - [15.210 0.500 0.500]
53 13.833 [rede_liberal | *fundador | romulo maiorana | rede_liberal | servidoraberto | *televisao] - [13.000 0.333 0.500]
54 13.833 [tv_madeira | produtos | *televisao | tv_madeira | *fundacao | 1957] - [13.000 0.333 0.500]
55 13.833 [turner_broadcasting_system_latin_america | *fundador | ted_turner | turner_broadcasting_system_latin_america | produtos | *televisao] - [13.000 0.333 0.500]
56 13.833 [dreamia | industria | *televisao | blast | *fundador | dreamia] - [13.000 0.333 0.500]
57 13.833 [rede_globo | servidoraberto | *televisao | rede_globo | *fundador | roberto_marinho] - [13.000 0.333 0.500]
58 13.833 [soup2nuts | industria | *televisao | soup2nuts | *fundacao | 1993] - [13.000 0.333 0.500]
59 13.833 [soup2nuts | *fundacao | 1993 | soup2nuts | industria | *televisao] - [13.000 0.333 0.500]
60 13.833 [barbalisso | *fundacao | antiguidade | barbalisso | sobrenome | *vaticano] - [13.000 0.333 0.500]
61 13.833 [soup2nuts | industria | *televisao | soup2nuts | *fundador | tom_snyder_(animador)] - [13.000 0.333 0.500]
62 13.833 [semp_toshiba | industria | *televisao | semp_toshiba | *fundacao | 1942] - [13.000 0.333 0.500]
63 13.833 [digital_latin_america | *fundacao | 2000 | digital_latin_america | genero | *televisao] - [13.000 0.333 0.500]
64 13.833 [rtl_group | industria | *televisao | rtl_group | *fundacao | 2000] - [13.000 0.333 0.500]
65 13.833 [dreamia | industria | *televisao | dreamia | *fundacao | 2009] - [13.000 0.333 0.500]
66 13.833 [teledoce | servidoraberto | *televisao | teledoce | *fundador | raul ganala] - [13.000 0.333 0.500]
67 13.833 [desilu_productions | *fundacao | 1950 | desilu_productions | industria | *televisao] - [13.000 0.333 0.500]
68 13.833 [tv_diario | servidoraberto | *televisao | tv_diario | *fundador | yolanda_queiroz] - [13.000 0.333 0.500]
69 13.833 [shondaland | industria | *televisao | shondaland | *fundacao | 2005] - [13.000 0.333 0.500]
70 13.833 [shondaland | industria | *televisao | shondaland | *fundador | shonda_rhimes] - [13.000 0.333 0.500]
71 13.833 [shondaland | *fundacao | 2005 | shondaland | industria | *televisao] - [13.000 0.333 0.500]
72 13.833 [rede_alterosa | *fundador | assis_chateaubriand | rede_alterosa | servidoraberto | *televisao] - [13.000 0.333 0.500]
73 13.833 [rede_taroba | *fundador | jose carlos muffato | rede_taroba | servidoraberto | *televisao] - [13.000 0.333 0.500]
74 13.833 [dreamia | *fundacao | 2009 | dreamia | industria | *televisao] - [13.000 0.333 0.500]
75 13.833 [rede_vanguarda | servidoraberto | *televisao | rede_vanguarda | *fundador | jose_bonifacio_de_oliveira_sobrinho] - [13.000 0.333 0.500]
76 13.833 [tve_brasil | *fundador | ernesto geisel e euclides oliveira | tve_brasil | significadoletras | *televisao] - [13.000 0.333 0.500]
77 13.833 [dreamworks_classics | industria | *televisao | dreamworks_classics | *fundador | john engelman] - [13.000 0.333 0.500]
78 13.833 [canal_futura | *fundador | roberto_marinho | canal_futura | servidoraberto | *televisao] - [13.000 0.333 0.500]
79 13.833 [rede_massa | *fundador | ratinho | rede_massa | servidoraberto | *televisao] - [13.000 0.333 0.500]
80 13.833 [rede_familia | *fundador | edir_macedo | rede_familia | servidoraberto | *televisao] - [13.000 0.333 0.500]
81 13.833 [united_plankton_pictures,_inc. | industria | *televisao | united_plankton_pictures,_inc. | *fundacao | 1998] - [13.000 0.333 0.500]
82 13.833 [shondaland | *fundador | shonda_rhimes | shondaland | industria | *televisao] - [13.000 0.333 0.500]
83 13.833 [tv_brasil | *fundador | governo_do_brasil | tv_brasil | servidoraberto | *televisao] - [13.000 0.333 0.500]
84 13.833 [tv_rio | *fundador | joao batista do amaral | tv_rio | servidoraberto | *televisao] - [13.000 0.333 0.500]
85 13.833 [tv_rio | *fundador | nilson fanini | tv_rio | servidoraberto | *televisao] - [13.000 0.333 0.500]
86 13.833 [language_creation_society | *fundador | sai | language_creation_society | produtos | *televisao] - [13.000 0.333 0.500]
87 13.833 [rtl_group | *fundacao | 2000 | rtl_group | industria | *televisao] - [13.000 0.333 0.500]
88 13.833 [at&t | *fundacao | san_antonio | at&t | produtos | *televisao] - [13.000 0.333 0.500]
89 13.833 [united_plankton_pictures,_inc. | industria | *televisao | united_plankton_pictures,_inc. | *fundador | stephen_hillenburg] - [13.000 0.333 0.500]
90 13.833 [turner_broadcasting_system_asia_pacific | *fundacao | 1989 | turner_broadcasting_system_asia_pacific | produtos | *televisao] - [13.000 0.333 0.500]
91 13.833 [rede_uniao | *fundador | jose alberto pinto bardawill | rede_uniao | servidoraberto | *televisao] - [13.000 0.333 0.500]
92 13.833 [film_roman | *fundador | phil_roman | film_roman | industria | *televisao] - [13.000 0.333 0.500]
93 13.833 [rede_globo | *fundador | roberto_marinho | rede_globo | servidoraberto | *televisao] - [13.000 0.333 0.500]
94 13.833 [tve_brasil | significadoletras | *televisao | tve_brasil | *fundador | ernesto geisel e euclides oliveira] - [13.000 0.333 0.500]
95 13.833 [grupo_estado | produtos | *televisao | eldorado_fm | *fundador | grupo_estado] - [13.000 0.333 0.500]
96 13.833 [rede_bandeirantes | *fundador | joao_jorge_saad | rede_bandeirantes | servidoraberto | *televisao] - [13.000 0.333 0.500]
97 13.833 [united_plankton_pictures,_inc. | *fundacao | 1998 | united_plankton_pictures,_inc. | industria | *televisao] - [13.000 0.333 0.500]
98 13.833 [2waytraffic | industria | *televisao | 2waytraffic | *fundador | unico glorie] - [13.000 0.333 0.500]
99 13.833 [2waytraffic | industria | *televisao | 2waytraffic | *fundador | aco ketelaar] - [13.000 0.333 0.500]
