
Melhores respostas:
0 17.596 [*stanley_kubrick | ocupacao | *diretor_de_cinema | *spartacus_(filme) | *direcao | *stanley_kubrick] - [15.929 0.667 1.000]
78 15.901 [*spartacus_(filme) | *direcao | *stanley_kubrick | paths_of_glory | *direcao | *stanley_kubrick] - [14.401 0.500 1.000]
79 15.901 [*spartacus_(filme) | *direcao | *stanley_kubrick | the_killing | *direcao | *stanley_kubrick] - [14.401 0.500 1.000]
80 15.901 [*spartacus_(filme) | *direcao | *stanley_kubrick | dr._strangelove_or:_how_i_learned_to_stop_worrying_and_love_the_bomb | *direcao | *stanley_kubrick] - [14.401 0.500 1.000]
81 15.901 [*spartacus_(filme) | *direcao | *stanley_kubrick | nascido_para_matar | *direcao | *stanley_kubrick] - [14.401 0.500 1.000]
82 15.901 [*spartacus_(filme) | *direcao | *stanley_kubrick | fear_and_desire | *direcao | *stanley_kubrick] - [14.401 0.500 1.000]
83 15.901 [paths_of_glory | *direcao | *stanley_kubrick | *spartacus_(filme) | *direcao | *stanley_kubrick] - [14.401 0.500 1.000]
84 15.901 [the_killing | *direcao | *stanley_kubrick | *spartacus_(filme) | *direcao | *stanley_kubrick] - [14.401 0.500 1.000]
85 15.867 [*stanley_kubrick | *oscaresacademia | 1968 | barry_lyndon | *direcao | *stanley_kubrick] - [14.367 0.500 1.000]
86 15.867 [*stanley_kubrick | *oscaresacademia | melhores efeitos visuais especiais | barry_lyndon | *direcao | *stanley_kubrick] - [14.367 0.500 1.000]
87 15.867 [*stanley_kubrick | *oscaresacademia | 1968 | the_shining | *direcao | *stanley_kubrick] - [14.367 0.500 1.000]
88 15.867 [*stanley_kubrick | *oscaresacademia | melhores efeitos visuais especiais | the_shining | *direcao | *stanley_kubrick] - [14.367 0.500 1.000]
89 15.867 [*stanley_kubrick | *oscaresacademia | 1968 | eyes_wide_shut | *direcao | *stanley_kubrick] - [14.367 0.500 1.000]
90 15.867 [*stanley_kubrick | *oscaresacademia | melhores efeitos visuais especiais | eyes_wide_shut | *direcao | *stanley_kubrick] - [14.367 0.500 1.000]
91 15.867 [*stanley_kubrick | *oscaresacademia | 1968 | 2001:_a_space_odyssey | *direcao | *stanley_kubrick] - [14.367 0.500 1.000]
92 15.867 [*stanley_kubrick | *oscaresacademia | melhores efeitos visuais especiais | 2001:_a_space_odyssey | *direcao | *stanley_kubrick] - [14.367 0.500 1.000]
93 15.867 [*stanley_kubrick | *oscaresacademia | 1968 | killer's_kiss | *direcao | *stanley_kubrick] - [14.367 0.500 1.000]
94 15.867 [*stanley_kubrick | *oscaresacademia | melhores efeitos visuais especiais | killer's_kiss | *direcao | *stanley_kubrick] - [14.367 0.500 1.000]
95 15.867 [*stanley_kubrick | *oscaresacademia | 1968 | paths_of_glory | *direcao | *stanley_kubrick] - [14.367 0.500 1.000]
96 15.867 [*stanley_kubrick | *oscaresacademia | melhores efeitos visuais especiais | paths_of_glory | *direcao | *stanley_kubrick] - [14.367 0.500 1.000]
97 15.867 [*stanley_kubrick | *oscaresacademia | 1968 | the_killing | *direcao | *stanley_kubrick] - [14.367 0.500 1.000]
98 15.867 [*stanley_kubrick | *oscaresacademia | melhores efeitos visuais especiais | the_killing | *direcao | *stanley_kubrick] - [14.367 0.500 1.000]
99 15.867 [*stanley_kubrick | *oscaresacademia | 1968 | dr._strangelove_or:_how_i_learned_to_stop_worrying_and_love_the_bomb | *direcao | *stanley_kubrick] - [14.367 0.500 1.000]
