
Melhores respostas:
0 12.882 [clawdeen_wolf | amigo | *draculaura | clawdeen_wolf | *criador | garrett_sander] - [11.548 0.333 1.000]
61 11.929 [butch_cassidy_(serie_animada) | *criador | william hanna e joseph barbera | *familia_dracula | *criador | william hanna e joseph barbera] - [10.596 0.333 1.000]
62 11.929 [*familia_dracula | episodios | 16 | *familia_dracula | *criador | william hanna e joseph barbera] - [10.596 0.333 1.000]
63 11.929 [*familia_dracula | titulobr | *familia dracula | *familia_dracula | *criador | william hanna e joseph barbera] - [10.596 0.333 1.000]
64 11.929 [elefantastico | *criador | william hanna e joseph barbera | *familia_dracula | *criador | william hanna e joseph barbera] - [10.596 0.333 1.000]
65 11.929 [*familia_dracula | emissoraluso | tv manchete | *familia_dracula | *criador | william hanna e joseph barbera] - [10.596 0.333 1.000]
66 11.929 [*familia_dracula | *criador | william hanna e joseph barbera | the_robonic_stooges | *criador | william hanna e joseph barbera] - [10.596 0.333 1.000]
67 11.929 [*familia_dracula | emissoraluso | boomerang | *familia_dracula | *criador | william hanna e joseph barbera] - [10.596 0.333 1.000]
68 11.929 [trapaleao | *criador | william hanna e joseph barbera | *familia_dracula | *criador | william hanna e joseph barbera] - [10.596 0.333 1.000]
69 11.929 [*familia_dracula | *criador | william hanna e joseph barbera | grande_polegar:_detetive_particular | *criador | william hanna e joseph barbera] - [10.596 0.333 1.000]
70 11.929 [*familia_dracula | *criador | william hanna e joseph barbera | the_new_shmoo | *criador | william hanna e joseph barbera] - [10.596 0.333 1.000]
71 11.929 [*familia_dracula | *criador | william hanna e joseph barbera | os_ho_ho_limpicos | *criador | william hanna e joseph barbera] - [10.596 0.333 1.000]
72 11.929 [the_new_shmoo | *criador | william hanna e joseph barbera | *familia_dracula | *criador | william hanna e joseph barbera] - [10.596 0.333 1.000]
73 11.929 [the_roman_holidays | *criador | william hanna e joseph barbera | *familia_dracula | *criador | william hanna e joseph barbera] - [10.596 0.333 1.000]
74 11.929 [the_great_grape_ape_show | *criador | william hanna e joseph barbera | *familia_dracula | *criador | william hanna e joseph barbera] - [10.596 0.333 1.000]
75 11.929 [*familia_dracula | *criador | william hanna e joseph barbera | *familia_dracula | temporadas | 1] - [10.596 0.333 1.000]
76 11.929 [jana_das_selvas | *criador | william hanna e joseph barbera | *familia_dracula | *criador | william hanna e joseph barbera] - [10.596 0.333 1.000]
77 11.929 [policia_desmontada | *criador | william hanna e joseph barbera | *familia_dracula | *criador | william hanna e joseph barbera] - [10.596 0.333 1.000]
78 11.929 [os_super_globetrotters | *criador | william hanna e joseph barbera | *familia_dracula | *criador | william hanna e joseph barbera] - [10.596 0.333 1.000]
79 11.929 [*familia_dracula | *criador | william hanna e joseph barbera | jeannie | *criador | william hanna e joseph barbera] - [10.596 0.333 1.000]
80 11.929 [*familia_dracula | *criador | william hanna e joseph barbera | jana_das_selvas | *criador | william hanna e joseph barbera] - [10.596 0.333 1.000]
81 11.929 [*familia_dracula | *criador | william hanna e joseph barbera | *familia_dracula | emissoraorig | cbs] - [10.596 0.333 1.000]
82 11.929 [*familia_dracula | *criador | william hanna e joseph barbera | *familia_dracula | emissoraluso | tv manchete] - [10.596 0.333 1.000]
83 11.929 [*familia_dracula | *criador | william hanna e joseph barbera | *familia_dracula | emissoraluso | boomerang] - [10.596 0.333 1.000]
84 11.929 [*familia_dracula | *criador | william hanna e joseph barbera | *familia_dracula | episodios | 16] - [10.596 0.333 1.000]
85 11.929 [jeannie | *criador | william hanna e joseph barbera | *familia_dracula | *criador | william hanna e joseph barbera] - [10.596 0.333 1.000]
86 11.929 [*familia_dracula | *criador | william hanna e joseph barbera | *familia_dracula | produtor | doug_paterson] - [10.596 0.333 1.000]
87 11.929 [*familia_dracula | *criador | william hanna e joseph barbera | *familia_dracula | produtor | william_hanna] - [10.596 0.333 1.000]
88 11.929 [*familia_dracula | *criador | william hanna e joseph barbera | *familia_dracula | diretor | chris cuddington] - [10.596 0.333 1.000]
89 11.929 [*familia_dracula | *criador | william hanna e joseph barbera | *familia_dracula | produtor | joseph_barbera] - [10.596 0.333 1.000]
90 11.929 [*familia_dracula | *criador | william hanna e joseph barbera | josie_and_the_pussycats | *criador | william hanna e joseph barbera] - [10.596 0.333 1.000]
91 11.929 [os_tres_mosqueteiros_(hanna_barbera) | *criador | william hanna e joseph barbera | *familia_dracula | *criador | william hanna e joseph barbera] - [10.596 0.333 1.000]
92 11.929 [*familia_dracula | *criador | william hanna e joseph barbera | *familia_dracula | titulobr | *familia dracula] - [10.596 0.333 1.000]
93 11.929 [*familia_dracula | *criador | william hanna e joseph barbera | *familia_dracula | formato | serie de desenho animado] - [10.596 0.333 1.000]
94 11.929 [*familia_dracula | *criador | william hanna e joseph barbera | the_all_new_popeye_hour | *criador | william hanna e joseph barbera] - [10.596 0.333 1.000]
95 11.929 [*familia_dracula | *criador | william hanna e joseph barbera | *familia_dracula | genero | sobrenatural] - [10.596 0.333 1.000]
96 11.929 [*familia_dracula | *criador | william hanna e joseph barbera | *familia_dracula | idioma | ingles_americano] - [10.596 0.333 1.000]
97 11.929 [*familia_dracula | *criador | william hanna e joseph barbera | *familia_dracula | titulo | drak pack] - [10.596 0.333 1.000]
98 11.929 [*familia_dracula | *criador | william hanna e joseph barbera | *familia_dracula | genero | comedia] - [10.596 0.333 1.000]
99 11.929 [*familia_dracula | *criador | william hanna e joseph barbera | *familia_dracula | genero | aventura] - [10.596 0.333 1.000]
