
Melhores respostas:

Lista de triplas candidatas a resposta: 
0 21.333 [*breaking_bad | formato | serie | *game_of_thrones | formato | serie] - [20.000 0.333 1.000]
89 12.809 [*breaking_bad | empproducao | gran via productions | *breaking_bad | *episodios | 62] - [11.975 0.333 0.500]
90 12.809 [*breaking_bad | produtorexecutivo | mark_johnson_(produtor) | *breaking_bad | *episodios | 62] - [11.975 0.333 0.500]
91 12.809 [*breaking_bad | empproducao | high bridge entertainment | *breaking_bad | *episodios | 62] - [11.975 0.333 0.500]
92 12.809 [*breaking_bad | local | albuquerque | *breaking_bad | *episodios | 62] - [11.975 0.333 0.500]
93 12.809 [*breaking_bad | transmissao | 673 | *breaking_bad | *episodios | 62] - [11.975 0.333 0.500]
94 12.809 [*breaking_bad | local | novo_mexico | *breaking_bad | *episodios | 62] - [11.975 0.333 0.500]
95 12.809 [*breaking_bad | empproducao | sony_pictures_television | *breaking_bad | *episodios | 62] - [11.975 0.333 0.500]
96 12.809 [*game_of_thrones | *episodios | 60 | winter_is_coming | serie | *game_of_thrones] - [11.975 0.333 0.500]
97 12.809 [*breaking_bad | produtorexecutivo | michelle maclaren | *breaking_bad | *episodios | 62] - [11.975 0.333 0.500]
98 12.809 [*breaking_bad | produtorexecutivo | vince_gilligan | *breaking_bad | *episodios | 62] - [11.975 0.333 0.500]
99 12.809 [*breaking_bad | *episodios | 62 | la_mentira_(1965) | *episodios | 62] - [11.975 0.333 0.500]
