
Melhores respostas:

Lista de triplas candidatas a resposta: 
0 13.667 [real_madrid_club_de_futbol_c | *estadio | *espanha] - [12.000 0.667 1.000]
67 11.688 [*grande_premio_da_hungria_de_2014 | segundopilotoorigem | *espanha] - [10.355 0.333 1.000]
68 11.688 [*grande_premio_da_hungria_de_2010 | segundopilotoorigem | *espanha] - [10.355 0.333 1.000]
69 11.688 [*grande_premio_da_hungria_de_2003 | primeiropilotoorigem | *espanha] - [10.355 0.333 1.000]
70 11.688 [*grande_premio_da_hungria_de_2006 | segundopilotoorigem | *espanha] - [10.355 0.333 1.000]
71 11.688 [*grande_premio_da_hungria_de_2003 | poleorigem | *espanha] - [10.355 0.333 1.000]
72 11.688 [*grande_premio_da_hungria_de_2009 | poleorigem | *espanha] - [10.355 0.333 1.000]
73 11.688 [*grande_premio_da_turquia_de_2011 | terceiropilotoorigem | *espanha] - [10.355 0.333 1.000]
74 11.688 [*grande_premio_do_bahrein_de_2010 | primeiropilotoorigem | *espanha] - [10.355 0.333 1.000]
75 11.688 [*grande_premio_da_malasia_de_2003 | poleorigem | *espanha] - [10.355 0.333 1.000]
76 11.688 [*grande_premio_da_hungria_de_2004 | terceiropilotoorigem | *espanha] - [10.355 0.333 1.000]
77 11.688 [*grande_premio_da_malasia_de_2005 | primeiropilotoorigem | *espanha] - [10.355 0.333 1.000]
78 11.688 [*grande_premio_da_malasia_de_2005 | poleorigem | *espanha] - [10.355 0.333 1.000]
79 11.688 [*grande_premio_da_malasia_de_2003 | terceiropilotoorigem | *espanha] - [10.355 0.333 1.000]
80 11.688 [*grande_premio_da_belgica_de_2005 | segundopilotoorigem | *espanha] - [10.355 0.333 1.000]
81 11.688 [*grande_premio_da_turquia_de_2005 | segundopilotoorigem | *espanha] - [10.355 0.333 1.000]
82 11.665 [*grande_premio_da_alemanha_de_2005 | primeiropilotoorigem | *espanha] - [10.331 0.333 1.000]
83 11.665 [*grande_premio_da_alemanha_de_2010 | primeiropilotoorigem | *espanha] - [10.331 0.333 1.000]
84 11.665 [*grande_premio_da_alemanha_de_2011 | segundopilotoorigem | *espanha] - [10.331 0.333 1.000]
85 11.665 [*grande_premio_da_alemanha_de_2004 | terceiropilotoorigem | *espanha] - [10.331 0.333 1.000]
86 11.665 [*grande_premio_da_alemanha_de_2009 | melhorvoltaorigem | *espanha] - [10.331 0.333 1.000]
87 11.665 [*grande_premio_da_alemanha_de_2013 | melhorvoltaorigem | *espanha] - [10.331 0.333 1.000]
88 11.642 [*grande_premio_de_singapura_de_2009 | melhorvoltaorigem | *espanha] - [10.309 0.333 1.000]
89 11.642 [*grande_premio_da_australia_de_2005 | melhorvoltaorigem | *espanha] - [10.309 0.333 1.000]
90 11.642 [*grande_premio_de_abu_dhabi_de_2013 | melhorvoltaorigem | *espanha] - [10.309 0.333 1.000]
91 11.642 [*grande_premio_de_singapura_de_2008 | primeiropilotoorigem | *espanha] - [10.309 0.333 1.000]
92 11.642 [*grande_premio_da_australia_de_2004 | terceiropilotoorigem | *espanha] - [10.309 0.333 1.000]
93 11.642 [*grande_premio_de_abu_dhabi_de_2012 | segundopilotoorigem | *espanha] - [10.309 0.333 1.000]
94 11.642 [*grande_premio_da_australia_de_2006 | primeiropilotoorigem | *espanha] - [10.309 0.333 1.000]
95 11.642 [*grande_premio_de_singapura_de_2009 | terceiropilotoorigem | *espanha] - [10.309 0.333 1.000]
96 11.642 [*grande_premio_de_abu_dhabi_de_2011 | segundopilotoorigem | *espanha] - [10.309 0.333 1.000]
97 11.642 [*grande_premio_da_australia_de_2005 | terceiropilotoorigem | *espanha] - [10.309 0.333 1.000]
98 11.642 [*grande_premio_de_singapura_de_2010 | primeiropilotoorigem | *espanha] - [10.309 0.333 1.000]
99 11.642 [*grande_premio_de_singapura_de_2010 | poleorigem | *espanha] - [10.309 0.333 1.000]
