
Melhores respostas:

Lista de triplas candidatas a resposta: 
0 13.106 [*south_san_francisco | *nome | south san francisco] - [11.440 0.667 1.000]
69 11.333 [philip_lamantia | nascimentolocal | *san_francisco] - [10.000 0.333 1.000]
70 11.333 [mike_carroll | localnascimento | *san_francisco] - [10.000 0.333 1.000]
71 11.333 [the_legend_of_bruce_lee | local | *san_francisco] - [10.000 0.333 1.000]
72 11.333 [dropbox | sede | *san_francisco] - [10.000 0.333 1.000]
73 11.333 [aurora_polar | localdepublicacao | *san_francisco] - [10.000 0.333 1.000]
74 11.333 [natalie_wood | localidaden | *san_francisco] - [10.000 0.333 1.000]
75 11.333 [night_ranger | origem | *san_francisco] - [10.000 0.333 1.000]
76 11.333 [bill_bixby | nascimentolocal | *san_francisco] - [10.000 0.333 1.000]
77 11.333 [benjamin_wildman_tobriner | localnascimento | *san_francisco] - [10.000 0.333 1.000]
78 11.333 [eddie_brock | terranatal | *san_francisco] - [10.000 0.333 1.000]
79 11.333 [vince_guaraldi | origem | *san_francisco] - [10.000 0.333 1.000]
80 11.333 [business_wire | sede | *san_francisco] - [10.000 0.333 1.000]
81 11.333 [justin_whalin | localidaden | *san_francisco] - [10.000 0.333 1.000]
82 11.333 [jerry_garcia | origem | *san_francisco] - [10.000 0.333 1.000]
83 11.333 [rikishi | localdenascimento | *san_francisco] - [10.000 0.333 1.000]
84 11.333 [mike_lockwood | localdenascimento | *san_francisco] - [10.000 0.333 1.000]
85 11.333 [foxboro_hot_tubs | origem | *san_francisco] - [10.000 0.333 1.000]
86 11.333 [alec_mapa | nascimentolocal | *san_francisco] - [10.000 0.333 1.000]
87 11.333 [wilhelmina_von_bremen | localnascimento | *san_francisco] - [10.000 0.333 1.000]
88 11.333 [roxie_theater | cidade | *san_francisco] - [10.000 0.333 1.000]
89 11.333 [john_young | localnascimento | *san_francisco] - [10.000 0.333 1.000]
90 11.333 [candlestick_park | local | *san_francisco] - [10.000 0.333 1.000]
91 11.333 [dylan_fergus | localidaden | *san_francisco] - [10.000 0.333 1.000]
92 11.333 [jim_walsh | cidadedamorte | *san_francisco] - [10.000 0.333 1.000]
93 11.333 [jim_walsh | cidadenatal | *san_francisco] - [10.000 0.333 1.000]
94 11.333 [john_antoine_nau | nascimentolocal | *san_francisco] - [10.000 0.333 1.000]
95 11.333 [fat_wreck_chords | locais | *san_francisco] - [10.000 0.333 1.000]
96 11.333 [dolby_laboratories | sede | *san_francisco] - [10.000 0.333 1.000]
97 11.333 [abby_wilde | localnascimento | *san_francisco] - [10.000 0.333 1.000]
98 11.333 [steve_miller_band | origem | *san_francisco] - [10.000 0.333 1.000]
99 11.333 [alma_rubens | localnascimento | *san_francisco] - [10.000 0.333 1.000]
