
Melhores respostas:
0 16.500 [*facebook | *fundador | dustin_moskovitz | *facebook | *fundacao | massachusetts] - [15.000 0.500 1.000]
78 14.333 [*facebook | *fundacao | massachusetts | the_oregon_trail_(jogo) | plataforma | *facebook] - [13.000 0.333 1.000]
79 14.333 [*facebook | *fundacao | cambridge_(massachusetts) | the_oregon_trail_(jogo) | plataforma | *facebook] - [13.000 0.333 1.000]
80 14.333 [*facebook | *fundacao | massachusetts | hiphop_virtual_machine | desenvolvedor | *facebook] - [13.000 0.333 1.000]
81 14.333 [*facebook | *fundacao | cambridge_(massachusetts) | hiphop_virtual_machine | desenvolvedor | *facebook] - [13.000 0.333 1.000]
82 14.333 [*facebook | *fundacao | massachusetts | cafe_mania | plataforma | *facebook] - [13.000 0.333 1.000]
83 14.333 [*facebook | *fundacao | cambridge_(massachusetts) | cafe_mania | plataforma | *facebook] - [13.000 0.333 1.000]
84 14.333 [*facebook | *fundacao | massachusetts | castleville | plataformas | *facebook] - [13.000 0.333 1.000]
85 14.333 [*facebook | *fundacao | cambridge_(massachusetts) | castleville | plataformas | *facebook] - [13.000 0.333 1.000]
86 14.333 [*facebook | *fundacao | massachusetts | jack_o'connell | titulo | *facebook] - [13.000 0.333 1.000]
87 14.333 [*facebook | *fundacao | cambridge_(massachusetts) | jack_o'connell | titulo | *facebook] - [13.000 0.333 1.000]
88 14.333 [*facebook | *fundacao | massachusetts | the_sims_social | plataforma | *facebook] - [13.000 0.333 1.000]
89 14.333 [*facebook | *fundacao | cambridge_(massachusetts) | the_sims_social | plataforma | *facebook] - [13.000 0.333 1.000]
90 14.333 [*facebook | *fundacao | massachusetts | olivia_ortiz | obra | *facebook] - [13.000 0.333 1.000]
91 14.333 [*facebook | *fundacao | cambridge_(massachusetts) | olivia_ortiz | obra | *facebook] - [13.000 0.333 1.000]
92 14.333 [*facebook | *fundacao | massachusetts | angry_birds_(jogo_eletronico) | plataforma | *facebook] - [13.000 0.333 1.000]
93 14.333 [*facebook | *fundacao | cambridge_(massachusetts) | angry_birds_(jogo_eletronico) | plataforma | *facebook] - [13.000 0.333 1.000]
94 14.333 [*facebook | *fundacao | massachusetts | ea_sports_fifa_superstars | plataforma | *facebook] - [13.000 0.333 1.000]
95 14.333 [*facebook | *fundacao | cambridge_(massachusetts) | ea_sports_fifa_superstars | plataforma | *facebook] - [13.000 0.333 1.000]
96 14.333 [animax_portugal | *fundacao | 12 | animax_portugal | site | *facebook] - [13.000 0.333 1.000]
97 14.333 [animax_portugal | site | *facebook | animax_portugal | *fundacao | 12] - [13.000 0.333 1.000]
98 14.333 [*facebook | *fundacao | massachusetts | *facebook | *fundacao | cambridge_(massachusetts)] - [13.000 0.333 1.000]
99 14.333 [*facebook | *fundacao | cambridge_(massachusetts) | *facebook | *fundacao | massachusetts] - [13.000 0.333 1.000]
