
Melhores respostas:
0 17.048 [*akira_kurosawa | ocupacao | *diretor_de_cinema | *ran_(filme) | *direcao | *akira_kurosawa] - [15.381 0.667 1.000]
75 15.353 [*ran_(filme) | *direcao | *akira_kurosawa | nora_inu | *direcao | *akira_kurosawa] - [13.853 0.500 1.000]
76 15.353 [hakuchi | *direcao | *akira_kurosawa | *ran_(filme) | *direcao | *akira_kurosawa] - [13.853 0.500 1.000]
77 15.353 [*akira_kurosawa | magnumopus | *ran_(filme) | os_sete_samurais | *direcao | *akira_kurosawa] - [13.853 0.500 1.000]
78 15.353 [*ran_(filme) | *direcao | *akira_kurosawa | yojimbo | *direcao | *akira_kurosawa] - [13.853 0.500 1.000]
79 15.353 [*ran_(filme) | *direcao | *akira_kurosawa | kagemusha | *direcao | *akira_kurosawa] - [13.853 0.500 1.000]
80 15.353 [*ran_(filme) | *direcao | *akira_kurosawa | o_barba_ruiva | *direcao | *akira_kurosawa] - [13.853 0.500 1.000]
81 15.353 [*ran_(filme) | *direcao | *akira_kurosawa | tengoku_to_jigoku | *direcao | *akira_kurosawa] - [13.853 0.500 1.000]
82 15.353 [*ran_(filme) | *direcao | *akira_kurosawa | ichiban_utsukushiku | *direcao | *akira_kurosawa] - [13.853 0.500 1.000]
83 15.353 [*ran_(filme) | genero | *filme_epico | *ran_(filme) | *direcao | *akira_kurosawa] - [13.853 0.500 1.000]
84 15.353 [*akira_kurosawa | magnumopus | *ran_(filme) | madadayo | *direcao | *akira_kurosawa] - [13.853 0.500 1.000]
85 15.353 [*ran_(filme) | *direcao | *akira_kurosawa | shizukanaru_ketto | *direcao | *akira_kurosawa] - [13.853 0.500 1.000]
86 15.353 [*ran_(filme) | *direcao | *akira_kurosawa | dersu_uzala | *direcao | *akira_kurosawa] - [13.853 0.500 1.000]
87 15.353 [*ran_(filme) | *direcao | *akira_kurosawa | hakuchi | *direcao | *akira_kurosawa] - [13.853 0.500 1.000]
88 15.353 [*ran_(filme) | *direcao | *akira_kurosawa | ikiru | *direcao | *akira_kurosawa] - [13.853 0.500 1.000]
89 15.353 [*ran_(filme) | *direcao | *akira_kurosawa | homem_mau_dorme_bem | *direcao | *akira_kurosawa] - [13.853 0.500 1.000]
90 15.353 [*ran_(filme) | *direcao | *akira_kurosawa | kakushi_toride_no_san_akunin | *direcao | *akira_kurosawa] - [13.853 0.500 1.000]
91 15.353 [*ran_(filme) | *direcao | *akira_kurosawa | rapsodia_em_agosto | *direcao | *akira_kurosawa] - [13.853 0.500 1.000]
92 15.353 [*ran_(filme) | *direcao | *akira_kurosawa | zoku_sugata_sanshiro | *direcao | *akira_kurosawa] - [13.853 0.500 1.000]
93 15.353 [*ran_(filme) | *direcao | *akira_kurosawa | asu_o_tsukuru_hitobito | *direcao | *akira_kurosawa] - [13.853 0.500 1.000]
94 15.353 [*ran_(filme) | *direcao | *akira_kurosawa | donzoko | *direcao | *akira_kurosawa] - [13.853 0.500 1.000]
95 15.353 [*ran_(filme) | *direcao | *akira_kurosawa | tora_no_o_wo_fumu_otokotachi | *direcao | *akira_kurosawa] - [13.853 0.500 1.000]
96 15.353 [*ran_(filme) | *direcao | *akira_kurosawa | yoidore_tenshi | *direcao | *akira_kurosawa] - [13.853 0.500 1.000]
97 15.353 [*ran_(filme) | *direcao | *akira_kurosawa | shubun | *direcao | *akira_kurosawa] - [13.853 0.500 1.000]
98 15.353 [*akira_kurosawa | magnumopus | *ran_(filme) | nora_inu | *direcao | *akira_kurosawa] - [13.853 0.500 1.000]
99 15.353 [*akira_kurosawa | magnumopus | *ran_(filme) | yojimbo | *direcao | *akira_kurosawa] - [13.853 0.500 1.000]
