
Melhores respostas:
0 24.500 [*agente_smith | *interprete | hugo_weaving | *agente_smith | obra | *matrix] - [23.000 0.500 1.000]
42 21.333 [*matrix | producaoexecutivo | lilly wachowski | *agente_smith | obra | *matrix] - [20.000 0.333 1.000]
43 21.333 [*matrix | genero | filme_de_acao | *agente_smith | obra | *matrix] - [20.000 0.333 1.000]
44 21.333 [*matrix | genero | ficcao_cientifica | *agente_smith | obra | *matrix] - [20.000 0.333 1.000]
45 21.333 [*matrix | elenco | carrie_anne_moss | *agente_smith | obra | *matrix] - [20.000 0.333 1.000]
46 21.333 [*matrix | elenco | hugo_weaving | *agente_smith | obra | *matrix] - [20.000 0.333 1.000]
47 21.333 [*matrix | roteiro | andy_e_lana_wachowski | *agente_smith | obra | *matrix] - [20.000 0.333 1.000]
48 21.333 [*matrix | elenco | laurence_fishburne | *agente_smith | obra | *matrix] - [20.000 0.333 1.000]
49 21.333 [*matrix | elenco | joe_pantoliano | *agente_smith | obra | *matrix] - [20.000 0.333 1.000]
50 21.333 [*matrix | elenco | keanu_reeves | *agente_smith | obra | *matrix] - [20.000 0.333 1.000]
51 21.333 [*matrix | producao | joel_silver | *agente_smith | obra | *matrix] - [20.000 0.333 1.000]
52 21.333 [*matrix | tamanhoimagem | 250 | *agente_smith | obra | *matrix] - [20.000 0.333 1.000]
53 21.333 [*matrix | lancamento | 31 | *agente_smith | obra | *matrix] - [20.000 0.333 1.000]
54 21.333 [*matrix | diretordearte | michelle mcgahey | *agente_smith | obra | *matrix] - [20.000 0.333 1.000]
55 21.333 [*matrix | lancamento | 8 | *agente_smith | obra | *matrix] - [20.000 0.333 1.000]
56 21.333 [*matrix | diretordearte | hugh bateup | *agente_smith | obra | *matrix] - [20.000 0.333 1.000]
57 21.333 [*matrix | lancamento | 21 | *agente_smith | obra | *matrix] - [20.000 0.333 1.000]
58 21.333 [*matrix | corpb | cor | *agente_smith | obra | *matrix] - [20.000 0.333 1.000]
59 21.333 [*matrix | edicao | zach staenberg | *agente_smith | obra | *matrix] - [20.000 0.333 1.000]
60 21.333 [*matrix | diretordefotografia | bill pope | *agente_smith | obra | *matrix] - [20.000 0.333 1.000]
61 21.333 [*matrix | musica | don davis | *agente_smith | obra | *matrix] - [20.000 0.333 1.000]
62 21.333 [*matrix | duracao | 136 | *agente_smith | obra | *matrix] - [20.000 0.333 1.000]
63 21.333 [*matrix | figurino | kym barrett | *agente_smith | obra | *matrix] - [20.000 0.333 1.000]
64 21.333 [*matrix | estudio | silver_pictures | *agente_smith | obra | *matrix] - [20.000 0.333 1.000]
65 21.333 [*matrix | estudio | village_roadshow_pictures | *agente_smith | obra | *matrix] - [20.000 0.333 1.000]
66 21.333 [*matrix | tipo | lf | *agente_smith | obra | *matrix] - [20.000 0.333 1.000]
67 20.949 [*agente_smith | primeiraaparicao | *the_matrix] - [19.282 0.667 1.000]
68 20.753 [*agente_smith | *interprete | hugo_weaving | *agente_smith | ultimaaparicao | *the_matrix_revolutions] - [19.253 0.500 1.000]
69 20.753 [*agente_smith | ultimaaparicao | *the_matrix_revolutions | *agente_smith | *interprete | hugo_weaving] - [19.253 0.500 1.000]
70 20.615 [*agente_smith | cor | cinema | *agente_smith | primeiraaparicao | *the_matrix] - [19.282 0.333 1.000]
71 20.615 [*agente_smith | sexo | masculino | *agente_smith | primeiraaparicao | *the_matrix] - [19.282 0.333 1.000]
72 20.615 [*agente_smith | data | fevereiro de 2008 | *agente_smith | primeiraaparicao | *the_matrix] - [19.282 0.333 1.000]
73 20.615 [*agente_smith | obra | *matrix | *agente_smith | primeiraaparicao | *the_matrix] - [19.282 0.333 1.000]
74 20.615 [*agente_smith | criador | andy_e_larry_wachowski | *agente_smith | primeiraaparicao | *the_matrix] - [19.282 0.333 1.000]
75 20.615 [*agente_smith | especie | programa_de_computador | *agente_smith | primeiraaparicao | *the_matrix] - [19.282 0.333 1.000]
76 20.615 [*agente_smith | primeiraaparicao | *the_matrix | *agente_smith | cor | cinema] - [19.282 0.333 1.000]
77 20.615 [*agente_smith | primeiraaparicao | *the_matrix | *agente_smith | sexo | masculino] - [19.282 0.333 1.000]
78 20.615 [*agente_smith | primeiraaparicao | *the_matrix | *agente_smith | data | fevereiro de 2008] - [19.282 0.333 1.000]
79 20.615 [*agente_smith | primeiraaparicao | *the_matrix | *agente_smith | obra | *matrix] - [19.282 0.333 1.000]
80 20.615 [*agente_smith | primeiraaparicao | *the_matrix | *agente_smith | criador | andy_e_larry_wachowski] - [19.282 0.333 1.000]
81 20.615 [*agente_smith | primeiraaparicao | *the_matrix | *agente_smith | especie | programa_de_computador] - [19.282 0.333 1.000]
82 20.615 [*agente_smith | primeiraaparicao | *the_matrix | *agente_smith | legenda | agente smith] - [19.282 0.333 1.000]
83 20.615 [*agente_smith | primeiraaparicao | *the_matrix | *agente_smith | nome | agente smith] - [19.282 0.333 1.000]
84 20.615 [*agente_smith | legenda | agente smith | *agente_smith | primeiraaparicao | *the_matrix] - [19.282 0.333 1.000]
85 20.615 [*agente_smith | primeiraaparicao | *the_matrix | *agente_smith | actividade | agente, mais tarde virus] - [19.282 0.333 1.000]
86 20.615 [*agente_smith | primeiraaparicao | *the_matrix | *agente_smith | imagem | 225] - [19.282 0.333 1.000]
87 20.615 [*agente_smith | primeiraaparicao | *the_matrix | *agente_smith | especialidade | exterminacao] - [19.282 0.333 1.000]
88 20.615 [*agente_smith | nome | agente smith | *agente_smith | primeiraaparicao | *the_matrix] - [19.282 0.333 1.000]
89 20.615 [*agente_smith | primeiraaparicao | *the_matrix | *agente_smith | arte | sim] - [19.282 0.333 1.000]
90 20.615 [*agente_smith | actividade | agente, mais tarde virus | *agente_smith | primeiraaparicao | *the_matrix] - [19.282 0.333 1.000]
91 20.615 [*agente_smith | imagem | 225 | *agente_smith | primeiraaparicao | *the_matrix] - [19.282 0.333 1.000]
92 20.615 [*agente_smith | especialidade | exterminacao | *agente_smith | primeiraaparicao | *the_matrix] - [19.282 0.333 1.000]
93 20.615 [*agente_smith | arte | sim | *agente_smith | primeiraaparicao | *the_matrix] - [19.282 0.333 1.000]
94 20.615 [*matrix | titulo | *the matrix | *agente_smith | obra | *matrix] - [19.282 0.333 1.000]
95 20.194 [*agente_smith | cor | cinema | *neo_(matrix) | cor | cinema] - [18.861 0.333 1.000]
96 20.194 [*agente_smith | sexo | masculino | *neo_(matrix) | sexo | masculino] - [18.861 0.333 1.000]
97 20.194 [*neo_(matrix) | cor | cinema | *agente_smith | cor | cinema] - [18.861 0.333 1.000]
98 20.194 [*neo_(matrix) | sexo | masculino | *agente_smith | sexo | masculino] - [18.861 0.333 1.000]
99 20.194 [*agente_smith | obra | *matrix | *neo_(matrix) | obra | *matrix] - [18.861 0.333 1.000]
