
Melhores respostas:

Lista de triplas candidatas a resposta: 
0 7.174 [frank_miller | *areadeatuacao | *ator | os_300_de_esparta | *artistas | frank_miller] - [6.674 0.500 0.000]
58 4.333 [robbie_williams | ocupacao | *ator | it's_only_us | *artista | robbie_williams] - [4.000 0.333 0.000]
59 4.333 [robbie_williams | ocupacao | *ator | strong_(cancao) | *artista | robbie_williams] - [4.000 0.333 0.000]
60 4.333 [robbie_williams | ocupacao | *ator | south_of_the_border_(cancao) | *artista | robbie_williams] - [4.000 0.333 0.000]
61 4.333 [ty_burrell | ocupacao | *ator | ty_burrell | ocupacao | *comediante] - [4.000 0.333 0.000]
62 4.333 [robbie_williams | ocupacao | *ator | let_love_be_your_energy | *artista | robbie_williams] - [4.000 0.333 0.000]
63 4.333 [robbie_williams | ocupacao | *ator | better_man | *artista | robbie_williams] - [4.000 0.333 0.000]
64 4.333 [tupac_shakur | ocupacao | *ator | r_u_still_down%3f_(remember_me) | *artista | tupac_shakur] - [4.000 0.333 0.000]
65 4.333 [sarah_wayne_callies | ocupacao | *atriz | lori_grimes | *interprete | sarah_wayne_callies] - [4.000 0.333 0.000]
66 4.333 [amy_poehler | ocupacao | *comediante | amy_poehler | ocupacao | *atriz] - [4.000 0.333 0.000]
67 4.333 [whitney_cummings | ocupacao | *comediante | whitney_cummings | ocupacao | *atriz] - [4.000 0.333 0.000]
68 4.333 [complices_al_rescate:_el_gran_final | *artista | complices_al_rescate_(banda) | complices_al_rescate:_el_gran_final | colunaextra | *interprete] - [4.000 0.333 0.000]
69 4.333 [evanna_lynch | ocupacao | *atriz | luna_lovegood | *interprete | evanna_lynch] - [4.000 0.333 0.000]
70 4.333 [aya_matsuura | ocupacao | *atriz | chocolate_damashii | *artista | aya_matsuura] - [4.000 0.333 0.000]
71 4.333 [aya_matsuura | ocupacao | *atriz | watarasebashi | *artista | aya_matsuura] - [4.000 0.333 0.000]
72 4.333 [aya_matsuura | ocupacao | *atriz | aya_matsuura | *artista | aya matsuura] - [4.000 0.333 0.000]
73 4.333 [aya_matsuura | ocupacao | *atriz | kiseki_no_kaori_dance | *artista | aya_matsuura] - [4.000 0.333 0.000]
74 4.333 [big_time_rush_(banda) | outrasocupacoes | *ator | holiday_bundle | *artista | big_time_rush_(banda)] - [4.000 0.333 0.000]
75 4.333 [aya_matsuura | ocupacao | *atriz | kizuna_(single) | *artista | aya_matsuura] - [4.000 0.333 0.000]
76 4.333 [robbie_williams | ocupacao | *ator | you_know_me | *artista | robbie_williams] - [4.000 0.333 0.000]
77 4.333 [carmen_miranda | ocupacao | *atriz | chegou_a_hora_da_fogueira | *artista | carmen_miranda] - [4.000 0.333 0.000]
78 4.333 [anna_faris | ocupacao | *atriz | anna_faris | ocupacao | *comediante] - [4.000 0.333 0.000]
79 4.333 [carmen_miranda | ocupacao | *atriz | disseram_que_voltei_americanizada | *artista | carmen_miranda] - [4.000 0.333 0.000]
80 4.333 [britney_spears | ocupacao | *atriz | greatest_hits:_my_prerogative_(dvd) | *artista | britney_spears] - [4.000 0.333 0.000]
81 4.333 [britney_spears | ocupacao | *atriz | *playlist:_the_very_best_of_britney_spears | *artista | britney_spears] - [4.000 0.333 0.000]
82 4.333 [britney_spears | ocupacao | *atriz | why_should_i_be_sad | *artista | britney_spears] - [4.000 0.333 0.000]
83 4.333 [aya_matsuura | *artista | aya matsuura | aya_matsuura | ocupacao | *atriz] - [4.000 0.333 0.000]
84 4.333 [tupac_shakur | ocupacao | *ator | holla_if_ya_hear_me | *artista | tupac_shakur] - [4.000 0.333 0.000]
85 4.333 [angelines_fernandez | ocupacao | *atriz | dona_clotilde | *interprete | angelines_fernandez] - [4.000 0.333 0.000]
86 4.333 [eric_dane | ocupacao | *ator | mark_sloan | *interprete | eric_dane] - [4.000 0.333 0.000]
87 4.333 [whitney_cummings | ocupacao | *atriz | whitney_cummings | ocupacao | *comediante] - [4.000 0.333 0.000]
88 4.333 [amy_poehler | ocupacao | *atriz | amy_poehler | ocupacao | *comediante] - [4.000 0.333 0.000]
89 4.333 [jasika_nicole | ocupacao | *atriz | astrid_farnsworth | *ator | jasika_nicole] - [4.000 0.333 0.000]
90 4.333 [robbie_williams | ocupacao | *ator | greatest_hits_(album_de_robbie_williams) | *artista | robbie_williams] - [4.000 0.333 0.000]
91 4.333 [maggie_smith | ocupacao | *ator | minerva_mcgonagall | *interprete | maggie_smith] - [4.000 0.333 0.000]
92 4.333 [justin_bieber | outrasocupacoes | *ator | believe_tour | *artista | justin_bieber] - [4.000 0.333 0.000]
93 4.333 [robbie_williams | ocupacao | *ator | i've_been_expecting_you | *artista | robbie_williams] - [4.000 0.333 0.000]
94 4.333 [robbie_williams | ocupacao | *ator | live_at_the_albert | *artista | robbie_williams] - [4.000 0.333 0.000]
95 4.333 [george_strait | outrasocupacoes | *ator | troubadour | *artista | george_strait] - [4.000 0.333 0.000]
96 4.333 [wiz_khalifa | ocupacao | *ator | o.n.i.f.c. | *artista | wiz_khalifa] - [4.000 0.333 0.000]
97 4.333 [justin_bieber | outrasocupacoes | *ator | love_me | *artista | justin_bieber] - [4.000 0.333 0.000]
98 4.333 [paul_walker | ocupacao | *ator | brian_o'conner | *interprete | paul_walker] - [4.000 0.333 0.000]
99 4.333 [baque_solto | colunaextra | *interprete | baque_solto | *artista | lenine e lula queiroga] - [4.000 0.333 0.000]
