
Melhores respostas:
0 5.658 [*espn_nba_basketball | *njogadores | *de 1 a 8 jogadores | *espn_nba_basketball | modos | *multiplayer] - [5.158 0.500 0.000]
40 5.292 [*mogi_das_cruzes_basketball_clube | *nomejogador | wagner | *mogi_das_cruzes_basketball_clube | ultcl | *limeira_basquete] - [4.792 0.500 0.000]
41 5.292 [*mogi_das_cruzes_basketball_clube | *nomejogador | thomas_gehrke | *mogi_das_cruzes_basketball_clube | ultcl | *limeira_basquete] - [4.792 0.500 0.000]
42 5.292 [*mogi_das_cruzes_basketball_clube | *nomejogador | gerson_santo | *mogi_das_cruzes_basketball_clube | ultcl | *limeira_basquete] - [4.792 0.500 0.000]
43 5.292 [*mogi_das_cruzes_basketball_clube | *nomejogador | pedro_macedo | *mogi_das_cruzes_basketball_clube | ultcl | *limeira_basquete] - [4.792 0.500 0.000]
44 5.292 [*mogi_das_cruzes_basketball_clube | *nomejogador | paulao_prestes | *mogi_das_cruzes_basketball_clube | ultcl | *limeira_basquete] - [4.792 0.500 0.000]
45 5.292 [*mogi_das_cruzes_basketball_clube | *nomejogador | shamell | *mogi_das_cruzes_basketball_clube | ultcl | *limeira_basquete] - [4.792 0.500 0.000]
46 5.292 [*mogi_das_cruzes_basketball_clube | *nomejogador | jimmy_dreher | *mogi_das_cruzes_basketball_clube | ultcl | *limeira_basquete] - [4.792 0.500 0.000]
47 5.292 [*mogi_das_cruzes_basketball_clube | *nomejogador | guilherme_filipin | *mogi_das_cruzes_basketball_clube | ultcl | *limeira_basquete] - [4.792 0.500 0.000]
48 5.292 [*mogi_das_cruzes_basketball_clube | *nomejogador | elinho | *mogi_das_cruzes_basketball_clube | ultcl | *limeira_basquete] - [4.792 0.500 0.000]
49 5.292 [*mogi_das_cruzes_basketball_clube | *nomejogador | gustavo_santos_pereira_lima | *mogi_das_cruzes_basketball_clube | ultcl | *limeira_basquete] - [4.792 0.500 0.000]
50 5.292 [*mogi_das_cruzes_basketball_clube | *nomejogador | alexandre_pinheiro | *mogi_das_cruzes_basketball_clube | ultcl | *limeira_basquete] - [4.792 0.500 0.000]
51 5.292 [*mogi_das_cruzes_basketball_clube | *nomejogador | tyrone_curnell | *mogi_das_cruzes_basketball_clube | ultcl | *limeira_basquete] - [4.792 0.500 0.000]
52 5.252 [*mogi_das_cruzes_basketball_clube | *nomejogador | gerson_santo | *mogi_das_cruzes_basketball_clube | ultcl | *basquete_cearense] - [4.752 0.500 0.000]
53 5.252 [*mogi_das_cruzes_basketball_clube | *nomejogador | wagner | *mogi_das_cruzes_basketball_clube | ultcl | *basquete_cearense] - [4.752 0.500 0.000]
54 5.252 [*mogi_das_cruzes_basketball_clube | *nomejogador | thomas_gehrke | *mogi_das_cruzes_basketball_clube | ultcl | *basquete_cearense] - [4.752 0.500 0.000]
55 5.252 [*mogi_das_cruzes_basketball_clube | *nomejogador | pedro_macedo | *mogi_das_cruzes_basketball_clube | ultcl | *basquete_cearense] - [4.752 0.500 0.000]
56 5.252 [*mogi_das_cruzes_basketball_clube | *nomejogador | paulao_prestes | *mogi_das_cruzes_basketball_clube | ultcl | *basquete_cearense] - [4.752 0.500 0.000]
57 5.252 [*mogi_das_cruzes_basketball_clube | *nomejogador | shamell | *mogi_das_cruzes_basketball_clube | ultcl | *basquete_cearense] - [4.752 0.500 0.000]
58 5.252 [*mogi_das_cruzes_basketball_clube | *nomejogador | jimmy_dreher | *mogi_das_cruzes_basketball_clube | ultcl | *basquete_cearense] - [4.752 0.500 0.000]
59 5.252 [*mogi_das_cruzes_basketball_clube | *nomejogador | guilherme_filipin | *mogi_das_cruzes_basketball_clube | ultcl | *basquete_cearense] - [4.752 0.500 0.000]
60 5.252 [*mogi_das_cruzes_basketball_clube | *nomejogador | elinho | *mogi_das_cruzes_basketball_clube | ultcl | *basquete_cearense] - [4.752 0.500 0.000]
61 5.252 [*mogi_das_cruzes_basketball_clube | *nomejogador | gustavo_santos_pereira_lima | *mogi_das_cruzes_basketball_clube | ultcl | *basquete_cearense] - [4.752 0.500 0.000]
62 5.252 [*mogi_das_cruzes_basketball_clube | *nomejogador | alexandre_pinheiro | *mogi_das_cruzes_basketball_clube | ultcl | *basquete_cearense] - [4.752 0.500 0.000]
63 5.252 [*mogi_das_cruzes_basketball_clube | *nomejogador | tyrone_curnell | *mogi_das_cruzes_basketball_clube | ultcl | *basquete_cearense] - [4.752 0.500 0.000]
64 5.252 [*mogi_das_cruzes_basketball_clube | ultcl | *basquete_cearense | *mogi_das_cruzes_basketball_clube | *nomejogador | tyrone_curnell] - [4.752 0.500 0.000]
65 5.252 [*mogi_das_cruzes_basketball_clube | ultcl | *basquete_cearense | *mogi_das_cruzes_basketball_clube | *nomejogador | alexandre_pinheiro] - [4.752 0.500 0.000]
66 5.252 [*mogi_das_cruzes_basketball_clube | ultcl | *basquete_cearense | *mogi_das_cruzes_basketball_clube | *nomejogador | guilherme_filipin] - [4.752 0.500 0.000]
67 5.252 [*mogi_das_cruzes_basketball_clube | ultcl | *basquete_cearense | *mogi_das_cruzes_basketball_clube | *nomejogador | elinho] - [4.752 0.500 0.000]
68 5.252 [*mogi_das_cruzes_basketball_clube | ultcl | *basquete_cearense | *mogi_das_cruzes_basketball_clube | *nomejogador | gustavo_santos_pereira_lima] - [4.752 0.500 0.000]
69 5.252 [*mogi_das_cruzes_basketball_clube | ultcl | *basquete_cearense | *mogi_das_cruzes_basketball_clube | *nomejogador | shamell] - [4.752 0.500 0.000]
70 5.252 [*mogi_das_cruzes_basketball_clube | ultcl | *basquete_cearense | *mogi_das_cruzes_basketball_clube | *nomejogador | jimmy_dreher] - [4.752 0.500 0.000]
71 5.252 [*mogi_das_cruzes_basketball_clube | ultcl | *basquete_cearense | *mogi_das_cruzes_basketball_clube | *nomejogador | paulao_prestes] - [4.752 0.500 0.000]
72 5.252 [*mogi_das_cruzes_basketball_clube | ultcl | *basquete_cearense | *mogi_das_cruzes_basketball_clube | *nomejogador | pedro_macedo] - [4.752 0.500 0.000]
73 5.252 [*mogi_das_cruzes_basketball_clube | ultcl | *basquete_cearense | *mogi_das_cruzes_basketball_clube | *nomejogador | wagner] - [4.752 0.500 0.000]
74 5.252 [*mogi_das_cruzes_basketball_clube | ultcl | *basquete_cearense | *mogi_das_cruzes_basketball_clube | *nomejogador | thomas_gehrke] - [4.752 0.500 0.000]
75 5.252 [*mogi_das_cruzes_basketball_clube | ultcl | *basquete_cearense | *mogi_das_cruzes_basketball_clube | *nomejogador | gerson_santo] - [4.752 0.500 0.000]
76 4.708 [*mogi_das_cruzes_basketball_clube | img | *mogi das cruzes basquete.png | *mogi_das_cruzes_basketball_clube | *nomejogador | pedro_macedo] - [4.208 0.500 0.000]
77 4.708 [*mogi_das_cruzes_basketball_clube | img | *mogi das cruzes basquete.png | *mogi_das_cruzes_basketball_clube | *nomejogador | gerson_santo] - [4.208 0.500 0.000]
78 4.708 [*mogi_das_cruzes_basketball_clube | img | *mogi das cruzes basquete.png | *mogi_das_cruzes_basketball_clube | *nomejogador | thomas_gehrke] - [4.208 0.500 0.000]
79 4.708 [*mogi_das_cruzes_basketball_clube | img | *mogi das cruzes basquete.png | *mogi_das_cruzes_basketball_clube | *nomejogador | wagner] - [4.208 0.500 0.000]
80 4.708 [*mogi_das_cruzes_basketball_clube | img | *mogi das cruzes basquete.png | *mogi_das_cruzes_basketball_clube | *nomejogador | alexandre_pinheiro] - [4.208 0.500 0.000]
81 4.708 [*mogi_das_cruzes_basketball_clube | img | *mogi das cruzes basquete.png | *mogi_das_cruzes_basketball_clube | *nomejogador | tyrone_curnell] - [4.208 0.500 0.000]
82 4.708 [*mogi_das_cruzes_basketball_clube | img | *mogi das cruzes basquete.png | *mogi_das_cruzes_basketball_clube | *nomejogador | elinho] - [4.208 0.500 0.000]
83 4.708 [*mogi_das_cruzes_basketball_clube | img | *mogi das cruzes basquete.png | *mogi_das_cruzes_basketball_clube | *nomejogador | guilherme_filipin] - [4.208 0.500 0.000]
84 4.708 [*mogi_das_cruzes_basketball_clube | img | *mogi das cruzes basquete.png | *mogi_das_cruzes_basketball_clube | *nomejogador | gustavo_santos_pereira_lima] - [4.208 0.500 0.000]
85 4.708 [*mogi_das_cruzes_basketball_clube | img | *mogi das cruzes basquete.png | *mogi_das_cruzes_basketball_clube | *nomejogador | jimmy_dreher] - [4.208 0.500 0.000]
86 4.708 [*mogi_das_cruzes_basketball_clube | img | *mogi das cruzes basquete.png | *mogi_das_cruzes_basketball_clube | *nomejogador | shamell] - [4.208 0.500 0.000]
87 4.708 [*mogi_das_cruzes_basketball_clube | img | *mogi das cruzes basquete.png | *mogi_das_cruzes_basketball_clube | *nomejogador | paulao_prestes] - [4.208 0.500 0.000]
88 4.708 [*mogi_das_cruzes_basketball_clube | *nomejogador | wagner | *mogi_das_cruzes_basketball_clube | img | *mogi das cruzes basquete.png] - [4.208 0.500 0.000]
89 4.708 [*mogi_das_cruzes_basketball_clube | *nomejogador | thomas_gehrke | *mogi_das_cruzes_basketball_clube | img | *mogi das cruzes basquete.png] - [4.208 0.500 0.000]
90 4.708 [*mogi_das_cruzes_basketball_clube | *nomejogador | gerson_santo | *mogi_das_cruzes_basketball_clube | img | *mogi das cruzes basquete.png] - [4.208 0.500 0.000]
91 4.708 [*mogi_das_cruzes_basketball_clube | *nomejogador | pedro_macedo | *mogi_das_cruzes_basketball_clube | img | *mogi das cruzes basquete.png] - [4.208 0.500 0.000]
92 4.708 [*mogi_das_cruzes_basketball_clube | *nomejogador | paulao_prestes | *mogi_das_cruzes_basketball_clube | img | *mogi das cruzes basquete.png] - [4.208 0.500 0.000]
93 4.708 [*mogi_das_cruzes_basketball_clube | *nomejogador | shamell | *mogi_das_cruzes_basketball_clube | img | *mogi das cruzes basquete.png] - [4.208 0.500 0.000]
94 4.708 [*mogi_das_cruzes_basketball_clube | *nomejogador | jimmy_dreher | *mogi_das_cruzes_basketball_clube | img | *mogi das cruzes basquete.png] - [4.208 0.500 0.000]
95 4.708 [*mogi_das_cruzes_basketball_clube | *nomejogador | guilherme_filipin | *mogi_das_cruzes_basketball_clube | img | *mogi das cruzes basquete.png] - [4.208 0.500 0.000]
96 4.708 [*mogi_das_cruzes_basketball_clube | *nomejogador | elinho | *mogi_das_cruzes_basketball_clube | img | *mogi das cruzes basquete.png] - [4.208 0.500 0.000]
97 4.708 [*mogi_das_cruzes_basketball_clube | *nomejogador | gustavo_santos_pereira_lima | *mogi_das_cruzes_basketball_clube | img | *mogi das cruzes basquete.png] - [4.208 0.500 0.000]
98 4.708 [*mogi_das_cruzes_basketball_clube | *nomejogador | alexandre_pinheiro | *mogi_das_cruzes_basketball_clube | img | *mogi das cruzes basquete.png] - [4.208 0.500 0.000]
99 4.708 [*mogi_das_cruzes_basketball_clube | *nomejogador | tyrone_curnell | *mogi_das_cruzes_basketball_clube | img | *mogi das cruzes basquete.png] - [4.208 0.500 0.000]
