
Melhores respostas:

Lista de triplas candidatas a resposta: 
0 13.348 [*jazz_(album) | artista | *queen] - [11.681 0.667 1.000]
87 11.333 [too_much_love_will_kill_you | produtor | *queen] - [10.000 0.333 1.000]
88 11.333 [a_night_at_the_odeon___hammersmith_1975 | artista | *queen] - [10.000 0.333 1.000]
89 11.333 [breakthru | artista | *queen] - [10.000 0.333 1.000]
90 11.333 [one_direction | influencias | *queen] - [10.000 0.333 1.000]
91 11.333 [deep_cuts,_volume_1_(19731976) | artista | *queen] - [10.000 0.333 1.000]
92 11.333 [now_i'm_here | artista | *queen] - [10.000 0.333 1.000]
93 11.333 [one_vision | artista | *queen] - [10.000 0.333 1.000]
94 11.333 [deep_cuts,_volume_3_(19841995) | artista | *queen] - [10.000 0.333 1.000]
95 11.333 [*queen | site | 326] - [10.000 0.333 1.000]
96 11.333 [the_miracle | artista | *queen] - [10.000 0.333 1.000]
97 11.333 [andre_matos | influencias | *queen] - [10.000 0.333 1.000]
98 11.333 [*queen | exintegrantes | barry mitchell] - [10.000 0.333 1.000]
99 11.333 [long_away | artista | *queen] - [10.000 0.333 1.000]
