
Melhores respostas:

Lista de triplas candidatas a resposta: 
0 11.333 [kveta_peschke | cidadenatal | *republica_tcheca] - [10.000 0.333 1.000]
56 11.333 [adam_ptacnik | nascimentolocal | *republica_tcheca] - [10.000 0.333 1.000]
57 11.333 [jiri_pecka_(ciclista) | nascimentolocal | *republica_tcheca] - [10.000 0.333 1.000]
58 11.333 [denis_spicka | nascimentolocal | *republica_tcheca] - [10.000 0.333 1.000]
59 11.333 [skoda_works | sede | *republica_tcheca] - [10.000 0.333 1.000]
60 11.333 [odeon_(editora) | sede | *republica_tcheca] - [10.000 0.333 1.000]
61 11.333 [jan_vesely_(ciclista) | mortelocal | *republica_tcheca] - [10.000 0.333 1.000]
62 11.333 [tomas_konecny | nascimentolocal | *republica_tcheca] - [10.000 0.333 1.000]
63 11.333 [mtv_europe | sede | *republica_tcheca] - [10.000 0.333 1.000]
64 11.333 [jirina_nekolova | localmorte | *republica_tcheca] - [10.000 0.333 1.000]
65 11.333 [football_club_banik_ostrava | local | *republica_tcheca] - [10.000 0.333 1.000]
66 11.333 [lukas_dlouhy | cidadenatal | *republica_tcheca] - [10.000 0.333 1.000]
67 11.333 [radim_korinek | nascimentolocal | *republica_tcheca] - [10.000 0.333 1.000]
68 11.333 [5_americans_in_prague | pais | *republica_tcheca] - [10.000 0.333 1.000]
69 11.333 [stan_mikita | localnascimento | *republica_tcheca] - [10.000 0.333 1.000]
70 11.333 [aneta_hladikova | nascimentolocal | *republica_tcheca] - [10.000 0.333 1.000]
71 11.333 [igreja_ortodoxa_tcheca_e_eslovaca | sede | *republica_tcheca] - [10.000 0.333 1.000]
72 11.333 [lukas_rosol | residencia | *republica_tcheca] - [10.000 0.333 1.000]
73 11.333 [lukas_rosol | cidadenatal | *republica_tcheca] - [10.000 0.333 1.000]
74 11.333 [jana_horakova | nascimentolocal | *republica_tcheca] - [10.000 0.333 1.000]
75 11.333 [pavel_kelemen | nascimentolocal | *republica_tcheca] - [10.000 0.333 1.000]
76 11.333 [circuito_masaryk | local | *republica_tcheca] - [10.000 0.333 1.000]
77 11.333 [petr_korda | cidadenatal | *republica_tcheca] - [10.000 0.333 1.000]
78 11.333 [gustav_flatow | localmorte | *republica_tcheca] - [10.000 0.333 1.000]
79 11.333 [jan_skarnitzl | nascimentolocal | *republica_tcheca] - [10.000 0.333 1.000]
80 11.333 [august_von_godrich | nascimentolocal | *republica_tcheca] - [10.000 0.333 1.000]
81 11.333 [dominik_hasek | localnascimento | *republica_tcheca] - [10.000 0.333 1.000]
82 11.333 [antonin_puc | paisdamorte | *republica_tcheca] - [10.000 0.333 1.000]
83 11.333 [michal_prokop | nascimentolocal | *republica_tcheca] - [10.000 0.333 1.000]
84 11.333 [otto_gottlieb | localnascimento | *republica_tcheca] - [10.000 0.333 1.000]
85 11.333 [regina_marsikova | residencia | *republica_tcheca] - [10.000 0.333 1.000]
86 11.333 [claudia_claire | nascimentolocal | *republica_tcheca] - [10.000 0.333 1.000]
87 11.333 [frantisek_planicka | paisdamorte | *republica_tcheca] - [10.000 0.333 1.000]
88 11.333 [martina_ruzickova | nascimentolocal | *republica_tcheca] - [10.000 0.333 1.000]
89 11.333 [vaclav_tintera | nascimentolocal | *republica_tcheca] - [10.000 0.333 1.000]
90 11.333 [kveta_peschke | residencia | *republica_tcheca] - [10.000 0.333 1.000]
91 10.966 [eliska_buckova | titulo | *miss_republica_tcheca] - [9.632 0.333 1.000]
92 10.966 [*miss_republica_tcheca | lidertitulo | presidente] - [9.632 0.333 1.000]
93 10.966 [*miss_republica_tcheca | tipo | concurso de beleza] - [9.632 0.333 1.000]
94 10.966 [*miss_republica_tcheca | lidernome | michaela malacova] - [9.632 0.333 1.000]
95 10.966 [*miss_republica_tcheca | nome | miss republica tcheca] - [9.632 0.333 1.000]
96 10.966 [*miss_republica_tcheca | sede | republica tcheca] - [9.632 0.333 1.000]
97 10.966 [eliska_buckova | conhecidopor | *miss_republica_tcheca] - [9.632 0.333 1.000]
98 10.966 [*miss_republica_tcheca | fundacao | 1990] - [9.632 0.333 1.000]
99 9.115 [forca_aerea_da_republica_checa | subordinacao | *forcas_armadas_da_republica_tcheca] - [7.782 0.333 1.000]
