
Melhores respostas:
0 13.995 [anton_hafner | *nascimentolocal | *erbach] - [12.329 0.667 1.000]
62 12.271 [*barbara_bach | *nascimentolocal | estados_unidos] - [10.604 0.667 1.000]
63 12.271 [*wilhelm_bach | *nascimentolocal | bruchsal] - [10.604 0.667 1.000]
64 12.271 [*wilhelm_bach | *nascimentolocal | alemanha] - [10.604 0.667 1.000]
65 12.271 [gotz_otto | *nascimentolocal | *dietzenbach,] - [10.604 0.667 1.000]
66 12.228 [*walter_bache | *nascimentocidade | birmingham] - [10.562 0.667 1.000]
67 12.183 [maria_teresa_de_braganca,_arquiduquesa_da_austria | *localdenascimento | *kleinheubach] - [10.517 0.667 1.000]
68 12.183 [maria_das_neves_de_braganca | *localdenascimento | *kleinheubach] - [10.517 0.667 1.000]
69 11.960 [*hubert_bachli | *nascimentolocal | suica] - [10.293 0.667 1.000]
70 11.960 [*ricardo_bacha | *localnascimento | mato_grosso_do_sul] - [10.293 0.667 1.000]
71 11.960 [*ricardo_bacha | *localnascimento | campo_grande_(mato_grosso_do_sul)] - [10.293 0.667 1.000]
72 11.960 [*hans_dormbach | *nascimentolocal | colonia_(alemanha)] - [10.293 0.667 1.000]
73 11.960 [josef_altstotter | *localnascimento | *bad_griesbach] - [10.293 0.667 1.000]
74 11.960 [*carl_von_bach | *localnascimento | stollberg] - [10.293 0.667 1.000]
75 11.960 [hans_moser | *localnascimento | *oberdiessbach] - [10.293 0.667 1.000]
76 11.917 [*irfan_bachdim | *nascimentocidade | amesterdao] - [10.251 0.667 1.000]
77 11.872 [*chris_bachalo | *localdenascimento | portage_la_prairie] - [10.206 0.667 1.000]
78 11.872 [adelaide_de_lowenstein_wertheim_rosenberg | *localdenascimento | *kleinheubach,] - [10.206 0.667 1.000]
79 11.645 [*rick_sternbach | *nascimentolocal | connecticut] - [9.978 0.667 1.000]
80 11.645 [konstantin_von_neurath | *localnascimento | *kleinglattbach] - [9.978 0.667 1.000]
81 11.645 [*yair_bacharach | *nascimentolocal | moravia] - [9.978 0.667 1.000]
82 11.645 [*dieter_seebach | *localnascimento | karlsruhe] - [9.978 0.667 1.000]
83 11.645 [*yair_bacharach | *nascimentolocal | lipnik_nad_becvou] - [9.978 0.667 1.000]
84 11.645 [*rafa_steinbach | *localnascimento | blumenau] - [9.978 0.667 1.000]
85 11.645 [*jonas_sulzbach | *localnascimento | lajeado,] - [9.978 0.667 1.000]
86 11.645 [*jorg_steinbach | *localnascimento | berlim] - [9.978 0.667 1.000]
87 11.645 [*spencer_bachus | *localnascimento | birmingham_(alabama)] - [9.978 0.667 1.000]
88 11.645 [*spencer_bachus | *localnascimento | eua] - [9.978 0.667 1.000]
89 11.645 [*spencer_bachus | *localnascimento | alabama] - [9.978 0.667 1.000]
90 11.603 [fred_hibbard | *nomedenascimento | *fred fischbach] - [9.936 0.667 1.000]
91 11.603 [peter_lee_lawrence | *nomedenascimento | *karl hyrenbach] - [9.936 0.667 1.000]
92 11.333 [pedro_eiras | obraprima | *bach] - [10.000 0.333 1.000]
93 11.333 [gabriela_montero | afiliacoes | *bach] - [10.000 0.333 1.000]
94 11.333 [paixao_segundo_sao_joao,_bwv_245 | commonscat | *bach] - [10.000 0.333 1.000]
95 11.333 [paixao_segundo_sao_joao,_bwv_245 | wikiquote | *bach] - [10.000 0.333 1.000]
96 11.333 [antonio_victorino_de_almeida | genero | *bach] - [10.000 0.333 1.000]
97 11.333 [ricardo_ribeiro | influencias | *bach] - [10.000 0.333 1.000]
98 11.333 [unix | ultimo | *bach] - [10.000 0.333 1.000]
99 11.333 [sexualidade_de_adolf_hitler | sobrenome | *bach] - [10.000 0.333 1.000]
