
Melhores respostas:
0 13.667 [*dbpedia | *desenvolvedor | openlink_software] - [12.000 0.667 1.000]
56 2.333 [coda_(software) | *desenvolvedor | panic] - [2.000 0.333 0.000]
57 2.333 [finereader | *desenvolvedor | abbyy] - [2.000 0.333 0.000]
58 2.333 [flask_(framework_web) | *desenvolvedor | armin ronacher] - [2.000 0.333 0.000]
59 2.333 [sacix | *desenvolvedor | projeto sacix] - [2.000 0.333 0.000]
60 2.333 [kodi | *desenvolvedor | comunidade open-source] - [2.000 0.333 0.000]
61 2.333 [elml | *desenvolvedor | joel fisler , susanne bleisch e outros] - [2.000 0.333 0.000]
62 2.333 [photofiltre | *desenvolvedor | antonio da cruz] - [2.000 0.333 0.000]
63 2.333 [colorz | *developer | exkee] - [2.000 0.333 0.000]
64 2.333 [apache_tomcat | *desenvolvedor | apache_software_foundation] - [2.000 0.333 0.000]
65 2.333 [downthemall! | *desenvolvedor | federico parodi, stefano verna, nils maier] - [2.000 0.333 0.000]
66 2.333 [mantis_bug_tracker | *desenvolvedor | victor boctor] - [2.000 0.333 0.000]
67 2.333 [microsoft_flight_simulator | *desenvolvedor | microsoft] - [2.000 0.333 0.000]
68 2.333 [paup | *desenvolvedor | david l swofford] - [2.000 0.333 0.000]
69 2.333 [bank_of_america_tower_(nova_iorque) | *desenvolvedor | durst organization,] - [2.000 0.333 0.000]
70 2.333 [tweetie | *desenvolvedor | atebits] - [2.000 0.333 0.000]
71 2.333 [encyclopaedia_metallum:_the_metal_archives | *desenvolvedor | morrigan, hellblazer] - [2.000 0.333 0.000]
72 2.333 [batman:_the_animated_series | *desenvolvedor | eric_radomski] - [2.000 0.333 0.000]
73 2.333 [vinagre_(vnc) | *desenvolvedor | jonh_wendell] - [2.000 0.333 0.000]
74 2.333 [dance_central_spotlight | *developer | harmonix] - [2.000 0.333 0.000]
75 2.333 [audacious | *desenvolvedor | audacious team] - [2.000 0.333 0.000]
76 2.333 [furius_iso_mount | *desenvolvedor | dean harris] - [2.000 0.333 0.000]
77 2.333 [office_2004_para_mac | *desenvolvedor | microsoft] - [2.000 0.333 0.000]
78 2.333 [teenage_mutant_ninja_turtles_(desenho_de_2003) | *desenvolvedor | mirage_studios] - [2.000 0.333 0.000]
79 2.333 [peabirus_rede_social | *desenvolvedor | radium systems] - [2.000 0.333 0.000]
80 2.333 [little_charmers | *desenvolvedor | carolyn hay] - [2.000 0.333 0.000]
81 2.333 [wikia | *desenvolvedor | angela_beesley] - [2.000 0.333 0.000]
82 2.333 [backbone.js | *desenvolvedor | jeremy ashkenas] - [2.000 0.333 0.000]
83 2.333 [spyware_terminator | *desenvolvedor | crawler,llc] - [2.000 0.333 0.000]
84 2.333 [dotproject | *desenvolvedor | adam donnison, karen chisholm, gregor erhardt, ivan peevski, eamon brosnan, benjamin young] - [2.000 0.333 0.000]
85 2.333 [progecad | *desenvolvedor | progesoft] - [2.000 0.333 0.000]
86 2.333 [portal_ms_record | *desenvolvedor | www.dothcom.net] - [2.000 0.333 0.000]
87 2.333 [ipad_air | *desenvolvedor | apple] - [2.000 0.333 0.000]
88 2.333 [gcompris | *desenvolvedor | bruno coudoin] - [2.000 0.333 0.000]
89 2.333 [retroshare | *desenvolvedor | retroshare-team] - [2.000 0.333 0.000]
90 2.333 [adobe_audition | *desenvolvedor | adobe_systems] - [2.000 0.333 0.000]
91 2.333 [webgl | *desenvolvedor | khronos group] - [2.000 0.333 0.000]
92 2.333 [cel | *desenvolvedor | jorrit tyberghein] - [2.000 0.333 0.000]
93 2.333 [winace | *desenvolvedor | e-merge gmbh] - [2.000 0.333 0.000]
94 2.333 [rouge:_a_historia | *desenvolvedor | sbt] - [2.000 0.333 0.000]
95 2.333 [niceplayer | *desenvolvedor | j. tuley e robert chin] - [2.000 0.333 0.000]
96 2.333 [castelo_de_kropow | *desenvolvedor | jan royal k'dosa] - [2.000 0.333 0.000]
97 2.333 [bluefish | *desenvolvedor | bluefish dev team] - [2.000 0.333 0.000]
98 2.333 [my_nintendo | *desenvolvedor | nintendo] - [2.000 0.333 0.000]
99 2.333 [wordpress | *desenvolvedor | donncha o caoimh] - [2.000 0.333 0.000]
