
Melhores respostas:
0 26.578 [*john_f._kennedy | *vicepresidente | lyndon_b._johnson | adlai_stevenson_ii | vice | *john_f._kennedy] - [23.911 0.667 2.000]
63 24.385 [lyndon_b._johnson | antes | *john_f._kennedy | lyndon_b._johnson | *ordempresidente | 36] - [21.885 0.500 2.000]
64 24.357 [lyndon_b._johnson | antes | *john_f._kennedy | eleicao_presidencial_nos_estados_unidos_em_1964 | *presidenteeleito | lyndon_b._johnson] - [21.857 0.500 2.000]
65 24.327 [lyndon_b._johnson | antes | *john_f._kennedy | eleicao_presidencial_nos_estados_unidos_em_1964 | *presidentetitular | lyndon_b._johnson] - [21.827 0.500 2.000]
66 24.327 [lyndon_b._johnson | antes | *john_f._kennedy | eleicao_presidencial_nos_estados_unidos_em_1968 | *presidentetitular | lyndon_b._johnson] - [21.827 0.500 2.000]
67 22.667 [*john_f._kennedy | depois | lyndon_b._johnson] - [20.000 0.667 2.000]
68 22.667 [lyndon_b._johnson | antes | *john_f._kennedy] - [20.000 0.667 2.000]
69 22.333 [lyndon_b._johnson | graduacao | tenente comandante | *john_f._kennedy | depois | lyndon_b._johnson] - [20.000 0.333 2.000]
70 22.333 [lyndon_b._johnson | anos | 1963 | *john_f._kennedy | depois | lyndon_b._johnson] - [20.000 0.333 2.000]
71 22.333 [lyndon_b._johnson | batalhas | segunda_guerra_mundial | lyndon_b._johnson | antes | *john_f._kennedy] - [20.000 0.333 2.000]
72 22.333 [lyndon_b._johnson | mortelocal | stonewall_(texas) | *john_f._kennedy | depois | lyndon_b._johnson] - [20.000 0.333 2.000]
73 22.333 [lyndon_b._johnson | partido | partido_democrata_(estados_unidos) | lyndon_b._johnson | antes | *john_f._kennedy] - [20.000 0.333 2.000]
74 22.333 [lyndon_b._johnson | assinatura | lyndon johnson signatre 2.svg | *john_f._kennedy | depois | lyndon_b._johnson] - [20.000 0.333 2.000]
75 22.333 [lyndon_b._johnson | condecoracoes | silver_star | *john_f._kennedy | depois | lyndon_b._johnson] - [20.000 0.333 2.000]
76 22.333 [lyndon_b._johnson | condecoracoes | medalha presidencial da liberdade | *john_f._kennedy | depois | lyndon_b._johnson] - [20.000 0.333 2.000]
77 22.333 [lyndon_b._johnson | titulo | senador pelo texas | lyndon_b._johnson | antes | *john_f._kennedy] - [20.000 0.333 2.000]
78 22.333 [lyndon_b._johnson | titulo | membro da camara dos representantes pelo 10.o distrito do texas | lyndon_b._johnson | antes | *john_f._kennedy] - [20.000 0.333 2.000]
79 22.333 [lyndon_b._johnson | almamater | southwest texas state teachers college | lyndon_b._johnson | antes | *john_f._kennedy] - [20.000 0.333 2.000]
80 22.333 [lyndon_b._johnson | antestitulo | james p. buchanan | lyndon_b._johnson | antes | *john_f._kennedy] - [20.000 0.333 2.000]
81 22.333 [lyndon_b._johnson | antestitulo | w._lee_o'daniel | lyndon_b._johnson | antes | *john_f._kennedy] - [20.000 0.333 2.000]
82 22.333 [lyndon_b._johnson | filhos | luci baines johnson | lyndon_b._johnson | antes | *john_f._kennedy] - [20.000 0.333 2.000]
83 22.333 [lyndon_b._johnson | filhos | lynda bird johnson robb | lyndon_b._johnson | antes | *john_f._kennedy] - [20.000 0.333 2.000]
84 22.333 [lyndon_b._johnson | religiao | discipulos_de_cristo | lyndon_b._johnson | antes | *john_f._kennedy] - [20.000 0.333 2.000]
85 22.333 [lyndon_b._johnson | nomecomp | lyndon baines johnson | lyndon_b._johnson | antes | *john_f._kennedy] - [20.000 0.333 2.000]
86 22.333 [lyndon_b._johnson | depoistitulo | homer thornberry | lyndon_b._johnson | antes | *john_f._kennedy] - [20.000 0.333 2.000]
87 22.333 [lyndon_b._johnson | depoistitulo | hubert_humphrey | lyndon_b._johnson | antes | *john_f._kennedy] - [20.000 0.333 2.000]
88 22.333 [lyndon_b._johnson | depoistitulo | william a. blakley | lyndon_b._johnson | antes | *john_f._kennedy] - [20.000 0.333 2.000]
89 22.333 [lyndon_b._johnson | depois | richard_nixon | lyndon_b._johnson | antes | *john_f._kennedy] - [20.000 0.333 2.000]
90 22.333 [lyndon_b._johnson | nascimentolocal | stonewall_(texas) | lyndon_b._johnson | antes | *john_f._kennedy] - [20.000 0.333 2.000]
91 22.333 [lyndon_b._johnson | nome | lyndon b. johnson | lyndon_b._johnson | antes | *john_f._kennedy] - [20.000 0.333 2.000]
92 22.333 [lyndon_b._johnson | conjuge | lady bird johnson | lyndon_b._johnson | antes | *john_f._kennedy] - [20.000 0.333 2.000]
93 22.333 [lyndon_b._johnson | profissao | professor | lyndon_b._johnson | antes | *john_f._kennedy] - [20.000 0.333 2.000]
94 22.333 [lyndon_b._johnson | graduacao | tenente comandante | lyndon_b._johnson | antes | *john_f._kennedy] - [20.000 0.333 2.000]
95 22.333 [lyndon_b._johnson | anos | 1963 | lyndon_b._johnson | antes | *john_f._kennedy] - [20.000 0.333 2.000]
96 22.333 [lyndon_b._johnson | mortelocal | stonewall_(texas) | lyndon_b._johnson | antes | *john_f._kennedy] - [20.000 0.333 2.000]
97 22.333 [lyndon_b._johnson | assinatura | lyndon johnson signatre 2.svg | lyndon_b._johnson | antes | *john_f._kennedy] - [20.000 0.333 2.000]
98 22.333 [lyndon_b._johnson | condecoracoes | medalha presidencial da liberdade | lyndon_b._johnson | antes | *john_f._kennedy] - [20.000 0.333 2.000]
99 22.333 [lyndon_b._johnson | condecoracoes | silver_star | lyndon_b._johnson | antes | *john_f._kennedy] - [20.000 0.333 2.000]
