
Melhores respostas:

Lista de triplas candidatas a resposta: 
0 4.667 [*game_up | genero | *jogos_eletronicos] - [4.000 0.667 0.000]
85 3.400 [*guitar_idol_(jogo_eletronico) | modos | *single_player] - [2.733 0.667 0.000]
86 3.400 [*singularity_(jogo_eletronico) | modes | *single player] - [2.733 0.667 0.000]
87 3.390 [*worms_(jogo_eletronico_de_1995) | plataforma | *playstation] - [2.723 0.667 0.000]
88 3.390 [*front_mission_(jogo_eletronico) | modos | *multiplayer] - [2.723 0.667 0.000]
89 3.342 [*need_for_speed_iii:_hot_pursuit | produtora | *ea_games] - [2.675 0.667 0.000]
90 3.332 [*a_bug's_life_(jogo_eletronico) | modos | *single_player] - [2.665 0.667 0.000]
91 3.326 [*indycar_series_(jogo_eletronico) | plataforma | *playstation] - [2.659 0.667 0.000]
92 3.324 [*jackal_(jogo_eletronico) | media | *cartucho_(videogame)] - [2.657 0.667 0.000]
93 3.324 [*wall_e_(jogo_eletronico) | plataforma | *playstation_portable] - [2.657 0.667 0.000]
94 3.324 [*trojan_(jogo_eletronico) | media | *cartucho_(videogame)] - [2.657 0.667 0.000]
95 3.309 [*arabian_(jogo_eletronico) | plataforma | *playstation_network] - [2.643 0.667 0.000]
96 3.309 [*journey_(jogo_eletronico) | lancamento | *playstation_network] - [2.643 0.667 0.000]
97 3.282 [*transformers:_the_game | gen | *jogo_eletronico_de_luta] - [2.615 0.667 0.000]
98 3.279 [*salamander_(jogo_eletronico) | conversoes | *game_boy_advance] - [2.613 0.667 0.000]
99 3.279 [*shark_tale_(jogo_eletronico) | plataforma | *game_boy_advance] - [2.613 0.667 0.000]
