
Melhores respostas:

Lista de triplas candidatas a resposta: 
0 5.129 [*afinidades | genero | *pop_rock | *david_paich | genero | *pop_rock] - [4.629 0.500 0.000]
32 4.269 [mesorregiao_do_extremo_oeste_baiano | *pop | 27659 | mesorregiao_do_extremo_oeste_baiano | *pais | mesorregiao do extremo oeste baiano] - [3.935 0.333 0.000]
33 4.269 [mesorregiao_do_extremo_oeste_baiano | *pais | mesorregiao do extremo oeste baiano | mesorregiao_do_extremo_oeste_baiano | *pop | 27659] - [3.935 0.333 0.000]
34 4.268 [*paial | *datapop | censo ibge/2010] - [3.601 0.667 0.000]
35 4.257 [china | *populacaoestimadaano | 2010 | *condado_de_tianlin | *pais | china] - [3.757 0.500 0.000]
36 4.200 [ilha_de_sao_vicente_(cabo_verde) | *tipopov | *cidade] - [3.533 0.667 0.000]
37 4.153 [*cutfather | *atividade | 1989] - [3.486 0.667 0.000]
38 4.138 [academico_basket_clube | *pais | prt | academico_basket_clube | *idade | 7.573824e8] - [3.805 0.333 0.000]
39 4.138 [academico_basket_clube | *idade | 7.573824e8 | academico_basket_clube | *pais | prt] - [3.805 0.333 0.000]
40 4.135 [bernice_hibbert | *idade | 1.3885344e9 | bernice_hibbert | *parentes | dr. julius hibbert , 3 filhos, chester dupree] - [3.802 0.333 0.000]
41 4.135 [gladys_bouvier | *parentes | marge , maggie, bart e lisa , patty e selma bouvier , jackie bouvier . | gladys_bouvier | *idade | 2.4614928e9] - [3.802 0.333 0.000]
42 4.135 [bernice_hibbert | *parentes | dr. julius hibbert , 3 filhos, chester dupree | bernice_hibbert | *idade | 1.3885344e9] - [3.802 0.333 0.000]
43 4.135 [gladys_bouvier | *idade | 2.4614928e9 | gladys_bouvier | *parentes | marge , maggie, bart e lisa , patty e selma bouvier , jackie bouvier .] - [3.802 0.333 0.000]
44 4.135 [eptv_sul_de_minas | *pop | 31568 | eptv_sul_de_minas | *cidade | sao lourenco] - [3.801 0.333 0.000]
45 4.135 [eptv_sul_de_minas | *pop | 31568 | eptv_sul_de_minas | *cidade | passos] - [3.801 0.333 0.000]
46 4.135 [eptv_sul_de_minas | *pop | 31568 | eptv_sul_de_minas | *cidade | machado] - [3.801 0.333 0.000]
47 4.135 [eptv_sul_de_minas | *pop | 49430 | eptv_sul_de_minas | *cidade | sao lourenco] - [3.801 0.333 0.000]
48 4.135 [eptv_sul_de_minas | *pop | 49430 | eptv_sul_de_minas | *cidade | machado] - [3.801 0.333 0.000]
49 4.135 [eptv_sul_de_minas | *pop | 49430 | eptv_sul_de_minas | *cidade | passos] - [3.801 0.333 0.000]
50 4.135 [eptv_sul_de_minas | *pop | 27020 | eptv_sul_de_minas | *cidade | sao lourenco] - [3.801 0.333 0.000]
51 4.135 [eptv_sul_de_minas | *pop | 27020 | eptv_sul_de_minas | *cidade | machado] - [3.801 0.333 0.000]
52 4.135 [eptv_sul_de_minas | *pop | 27020 | eptv_sul_de_minas | *cidade | passos] - [3.801 0.333 0.000]
53 4.135 [eptv_sul_de_minas | *pop | 27020 | eptv_sul_de_minas | *cidade | guaxupe] - [3.801 0.333 0.000]
54 4.135 [eptv_sul_de_minas | *pop | 31568 | eptv_sul_de_minas | *cidade | guaxupe] - [3.801 0.333 0.000]
55 4.135 [eptv_sul_de_minas | *pop | 49430 | eptv_sul_de_minas | *cidade | guaxupe] - [3.801 0.333 0.000]
56 4.135 [microrregiao_de_sao_lourenco | *pop | 19045 | microrregiao_de_sao_lourenco | *cidade | carmo de minas] - [3.801 0.333 0.000]
57 4.135 [microrregiao_de_sao_lourenco | *pop | 13499 | microrregiao_de_sao_lourenco | *cidade | carmo de minas] - [3.801 0.333 0.000]
58 4.135 [microrregiao_de_sao_lourenco | *pop | 12997 | microrregiao_de_sao_lourenco | *cidade | carmo de minas] - [3.801 0.333 0.000]
59 4.135 [microrregiao_de_sao_lourenco | *pop | 6291 | microrregiao_de_sao_lourenco | *cidade | carmo de minas] - [3.801 0.333 0.000]
60 4.135 [mesorregiao_do_extremo_oeste_baiano | *cidade | correntina | mesorregiao_do_extremo_oeste_baiano | *pop | 27659] - [3.801 0.333 0.000]
61 4.135 [mesorregiao_do_extremo_oeste_baiano | *cidade | formosa do rio preto | mesorregiao_do_extremo_oeste_baiano | *pop | 27659] - [3.801 0.333 0.000]
62 4.135 [eptv_sul_de_minas | *cidade | guaxupe | eptv_sul_de_minas | *pop | 27020] - [3.801 0.333 0.000]
63 4.135 [eptv_sul_de_minas | *cidade | guaxupe | eptv_sul_de_minas | *pop | 31568] - [3.801 0.333 0.000]
64 4.135 [eptv_sul_de_minas | *cidade | guaxupe | eptv_sul_de_minas | *pop | 49430] - [3.801 0.333 0.000]
65 4.135 [eptv_sul_de_minas | *cidade | sao lourenco | eptv_sul_de_minas | *pop | 49430] - [3.801 0.333 0.000]
66 4.135 [eptv_sul_de_minas | *cidade | sao lourenco | eptv_sul_de_minas | *pop | 31568] - [3.801 0.333 0.000]
67 4.135 [eptv_sul_de_minas | *cidade | sao lourenco | eptv_sul_de_minas | *pop | 27020] - [3.801 0.333 0.000]
68 4.135 [eptv_sul_de_minas | *cidade | passos | eptv_sul_de_minas | *pop | 27020] - [3.801 0.333 0.000]
69 4.135 [eptv_sul_de_minas | *cidade | machado | eptv_sul_de_minas | *pop | 49430] - [3.801 0.333 0.000]
70 4.135 [eptv_sul_de_minas | *cidade | machado | eptv_sul_de_minas | *pop | 27020] - [3.801 0.333 0.000]
71 4.135 [eptv_sul_de_minas | *cidade | machado | eptv_sul_de_minas | *pop | 31568] - [3.801 0.333 0.000]
72 4.135 [eptv_sul_de_minas | *cidade | passos | eptv_sul_de_minas | *pop | 49430] - [3.801 0.333 0.000]
73 4.135 [eptv_sul_de_minas | *cidade | passos | eptv_sul_de_minas | *pop | 31568] - [3.801 0.333 0.000]
74 4.135 [microrregiao_de_sao_lourenco | *cidade | carmo de minas | microrregiao_de_sao_lourenco | *pop | 19045] - [3.801 0.333 0.000]
75 4.135 [microrregiao_de_sao_lourenco | *cidade | carmo de minas | microrregiao_de_sao_lourenco | *pop | 6291] - [3.801 0.333 0.000]
76 4.135 [microrregiao_de_sao_lourenco | *cidade | carmo de minas | microrregiao_de_sao_lourenco | *pop | 13499] - [3.801 0.333 0.000]
77 4.135 [microrregiao_de_sao_lourenco | *cidade | carmo de minas | microrregiao_de_sao_lourenco | *pop | 12997] - [3.801 0.333 0.000]
78 4.135 [mesorregiao_do_extremo_oeste_baiano | *pop | 27659 | mesorregiao_do_extremo_oeste_baiano | *cidade | formosa do rio preto] - [3.801 0.333 0.000]
79 4.135 [mesorregiao_do_extremo_oeste_baiano | *pop | 27659 | mesorregiao_do_extremo_oeste_baiano | *cidade | correntina] - [3.801 0.333 0.000]
80 4.127 [*komae | *populacao | 77390] - [3.460 0.667 0.000]
81 4.083 [*painho_de_guadalupe | *sistemaestado | iucn3.1 | *papagaio_galego | *sistemaestado | iucn3.1] - [3.583 0.500 0.000]
82 4.083 [*papagaio_galego | *sistemaestado | iucn3.1 | *painho_de_guadalupe | *sistemaestado | iucn3.1] - [3.583 0.500 0.000]
83 4.073 [*parentignat | *populacao | 398] - [3.406 0.667 0.000]
84 4.070 [mesorregiao_do_extremo_oeste_baiano | *pais | mesorregiao do extremo oeste baiano | mesorregiao_do_extremo_oeste_baiano | *cidade | correntina] - [3.737 0.333 0.000]
85 4.070 [mesorregiao_do_extremo_oeste_baiano | *pais | mesorregiao do extremo oeste baiano | mesorregiao_do_extremo_oeste_baiano | *cidade | formosa do rio preto] - [3.737 0.333 0.000]
86 4.070 [tv_da_gente | *pais | brasil | tv_da_gente | *cidade | 20] - [3.737 0.333 0.000]
87 4.070 [taxi_de_argel | *pais | argelia | taxi_de_argel | *cidade | argel] - [3.737 0.333 0.000]
88 4.070 [mano_(serra_leoa) | subdivisaotipo | *pais | mano_(serra_leoa) | assentamentotipo | *cidade] - [3.737 0.333 0.000]
89 4.070 [cobija | assentamentotipo | *cidade | cobija | subdivisaotipo | *pais] - [3.737 0.333 0.000]
90 4.070 [carmen_de_patagones | subdivisaotipo | *pais | carmen_de_patagones | assentamentotipo | *cidade] - [3.737 0.333 0.000]
91 4.070 [alta_paulista | *pais | alta paulista | alta_paulista | *cidade | bastos] - [3.737 0.333 0.000]
92 4.070 [alta_paulista | *pais | alta paulista | alta_paulista | *cidade | inubia paulista] - [3.737 0.333 0.000]
93 4.070 [bhisho | assentamentotipo | *cidade | bhisho | subdivisaotipo | *pais] - [3.737 0.333 0.000]
94 4.070 [abadia_de_dunfermline | *cidade | dunfermline | abadia_de_dunfermline | *pais | escocia] - [3.737 0.333 0.000]
95 4.070 [cochabamba | subdivisaotipo | *pais | cochabamba | assentamentotipo | *cidade] - [3.737 0.333 0.000]
96 4.070 [kibera | subdivisaotipo | *pais | kibera | assentamentotipo | *cidade] - [3.737 0.333 0.000]
97 4.070 [instituto_de_matematica,_estatistica_e_computacao_cientifica_da_unicamp | *cidade | campinas | instituto_de_matematica,_estatistica_e_computacao_cientifica_da_unicamp | *pais | brasil] - [3.737 0.333 0.000]
98 4.070 [mesorregiao_do_extremo_oeste_baiano | *cidade | formosa do rio preto | mesorregiao_do_extremo_oeste_baiano | *pais | mesorregiao do extremo oeste baiano] - [3.737 0.333 0.000]
99 4.070 [mesorregiao_do_extremo_oeste_baiano | *cidade | correntina | mesorregiao_do_extremo_oeste_baiano | *pais | mesorregiao do extremo oeste baiano] - [3.737 0.333 0.000]
