
Melhores respostas:
0 24.970 [*aristoteles | *influencias | *socrates] - [22.970 1.000 1.000]

Lista de triplas candidatas a resposta: 
0 24.970 [*aristoteles | *influencias | *socrates] - [22.970 1.000 1.000]
1 24.470 [*aristoteles | *influencias | *socrates | edmund_burke | *influencias | *socrates] - [22.970 0.500 1.000]
48 24.470 [*aristoteles | interesses | politica | *aristoteles | *influencias | *socrates] - [22.970 0.500 1.000]
49 24.470 [*aristoteles | interesses | metafisica | *aristoteles | *influencias | *socrates] - [22.970 0.500 1.000]
50 24.470 [*aristoteles | interesses | teatro | *aristoteles | *influencias | *socrates] - [22.970 0.500 1.000]
51 24.470 [*aristoteles | ideiasnotaveis | logica | *aristoteles | *influencias | *socrates] - [22.970 0.500 1.000]
52 24.470 [*aristoteles | interesses | retorica | *aristoteles | *influencias | *socrates] - [22.970 0.500 1.000]
53 24.470 [*aristoteles | interesses | musica | *aristoteles | *influencias | *socrates] - [22.970 0.500 1.000]
54 24.470 [*aristoteles | ideiasnotaveis | doutrina_do_meio_termo | *aristoteles | *influencias | *socrates] - [22.970 0.500 1.000]
55 24.470 [*aristoteles | interesses | poesia | *aristoteles | *influencias | *socrates] - [22.970 0.500 1.000]
56 24.470 [*aristoteles | interesses | biologia | *aristoteles | *influencias | *socrates] - [22.970 0.500 1.000]
57 24.470 [*aristoteles | interesses | zoologia | *aristoteles | *influencias | *socrates] - [22.970 0.500 1.000]
58 24.470 [*aristoteles | interesses | fisica | *aristoteles | *influencias | *socrates] - [22.970 0.500 1.000]
59 24.470 [*aristoteles | interesses | governo | *aristoteles | *influencias | *socrates] - [22.970 0.500 1.000]
60 24.470 [*aristoteles | ideiasnotaveis | razao | *aristoteles | *influencias | *socrates] - [22.970 0.500 1.000]
61 24.470 [*aristoteles | *influencias | *socrates | dante_alighieri | *influencias | *socrates] - [22.970 0.500 1.000]
62 24.470 [parmenides | *influencias | *socrates | *aristoteles | *influencias | *socrates] - [22.970 0.500 1.000]
63 24.470 [*aristoteles | *influencias | *socrates | apolonia_(iliria) | sobrenome | *aristoteles] - [22.970 0.500 1.000]
64 24.470 [*aristoteles | *influencias | *socrates | apolonia_(iliria) | autorlink | *aristoteles] - [22.970 0.500 1.000]
65 24.470 [*aristoteles | *influencias | *socrates | parmenides | *influencias | *socrates] - [22.970 0.500 1.000]
66 24.470 [*aristoteles | *influencias | *socrates | jacob_levy_moreno | *influencias | *socrates] - [22.970 0.500 1.000]
67 24.470 [*aristoteles | *influencias | *socrates | abu_ma'shar_al_balkhi | *influencia | *aristoteles] - [22.970 0.500 1.000]
68 24.470 [*aristoteles | *influencias | *socrates | usura | autor | *aristoteles] - [22.970 0.500 1.000]
69 24.470 [*socrates | datanascimento | ca.  ou 470 a.c. | *aristoteles | *influencias | *socrates] - [22.970 0.500 1.000]
70 24.470 [*aristoteles | nome | *aristoteles | *aristoteles | *influencias | *socrates] - [22.970 0.500 1.000]
71 24.470 [parmenides | *influencias | *socrates | parmenides | *influencias | *aristoteles] - [22.970 0.500 1.000]
72 24.470 [parmenides | *influencias | *aristoteles | parmenides | *influencias | *socrates] - [22.970 0.500 1.000]
73 24.470 [*aristoteles | *influencias | *socrates | prodico | *influencias | *socrates] - [22.970 0.500 1.000]
74 24.470 [*aristoteles | imagem | aristotle altemps detail.jpg | *aristoteles | *influencias | *socrates] - [22.970 0.500 1.000]
75 24.470 [*aristoteles | *influencias | *socrates | realismo_platonico | *influencias | *socrates] - [22.970 0.500 1.000]
76 24.470 [*aristoteles | *influencias | *socrates | geografia | data | *aristoteles] - [22.970 0.500 1.000]
77 24.470 [platao | *influencias | *socrates | *aristoteles | *influencias | *socrates] - [22.970 0.500 1.000]
78 24.470 [*aristoteles | *influencias | *socrates | gottfried_wilhelm_leibniz | *influencia | *aristoteles] - [22.970 0.500 1.000]
79 24.470 [*aristoteles | *influencias | *socrates | arquelau_de_atenas | *influencias | *socrates] - [22.970 0.500 1.000]
80 24.470 [*aristoteles | *influencias | *socrates | antistenes | *influencias | *socrates] - [22.970 0.500 1.000]
81 24.470 [*aristoteles | mortelocal | calcis, na ilha eubeia | *aristoteles | *influencias | *socrates] - [22.970 0.500 1.000]
82 24.470 [*aristoteles | *influencias | *socrates | platao | *influencias | *socrates] - [22.970 0.500 1.000]
83 24.470 [dante_alighieri | *influencias | *socrates | *aristoteles | *influencias | *socrates] - [22.970 0.500 1.000]
84 24.470 [*socrates | interesses | etica | *aristoteles | *influencias | *socrates] - [22.970 0.500 1.000]
85 24.470 [*socrates | interesses | epistemologia | *aristoteles | *influencias | *socrates] - [22.970 0.500 1.000]
86 24.470 [leo_strauss | *influencias | *socrates | leo_strauss | *influencias | *aristoteles] - [22.970 0.500 1.000]
87 24.470 [edmund_burke | *influencias | *socrates | *aristoteles | *influencias | *socrates] - [22.970 0.500 1.000]
88 24.470 [leo_strauss | *influencias | *aristoteles | leo_strauss | *influencias | *socrates] - [22.970 0.500 1.000]
89 24.470 [leo_strauss | *influencias | *socrates | *aristoteles | *influencias | *socrates] - [22.970 0.500 1.000]
90 24.470 [dante_alighieri | *influencias | *aristoteles | dante_alighieri | *influencias | *socrates] - [22.970 0.500 1.000]
91 24.470 [dante_alighieri | *influencias | *socrates | dante_alighieri | *influencias | *aristoteles] - [22.970 0.500 1.000]
92 24.470 [*socrates | localidaden | atenas | *aristoteles | *influencias | *socrates] - [22.970 0.500 1.000]
93 24.470 [*socrates | localidadef | atenas | *aristoteles | *influencias | *socrates] - [22.970 0.500 1.000]
94 24.470 [*aristoteles | escola | escola_peripatetica | *aristoteles | *influencias | *socrates] - [22.970 0.500 1.000]
95 24.470 [*aristoteles | escola | aristotelismo | *aristoteles | *influencias | *socrates] - [22.970 0.500 1.000]
96 24.470 [jacob_levy_moreno | *influencias | *socrates | *aristoteles | *influencias | *socrates] - [22.970 0.500 1.000]
97 24.470 [*socrates | ideias | metodo_socratico | *aristoteles | *influencias | *socrates] - [22.970 0.500 1.000]
98 24.470 [*socrates | ideias | ironia | *aristoteles | *influencias | *socrates] - [22.970 0.500 1.000]
99 24.470 [*aristoteles | nascimentolocal | estagira | *aristoteles | *influencias | *socrates] - [22.970 0.500 1.000]
