
Melhores respostas:
0 24.836 [*berling | *area | 315] - [21.836 1.000 2.000]

Lista de triplas candidatas a resposta: 
0 24.836 [*berling | *area | 315] - [21.836 1.000 2.000]
1 24.336 [romain_(meurthe_et_moselle) | *area | 315 | *berling | *area | 315] - [21.836 0.500 2.000]
82 14.857 [bollendorf | codigotelefone | 6526 | bollendorf | *area | *1315] - [13.357 0.500 1.000]
83 14.857 [bollendorf | *area | *1315 | bollendorf | codigotelefone | 6526] - [13.357 0.500 1.000]
84 14.857 [neukirchen_(nordfriesland) | codigotelefone | 4664 | neukirchen_(nordfriesland) | *area | 3158] - [13.357 0.500 1.000]
85 14.697 [rubio | *areatotalkm | 315 | rubio | *codigopostaltipo | *codigo_postal] - [13.197 0.500 1.000]
86 14.697 [rubio | *codigopostaltipo | *codigo_postal | rubio | *areatotalkm | 315] - [13.197 0.500 1.000]
87 14.655 [*the_code | codigoimdb | *315417] - [12.655 1.000 1.000]
88 14.437 [condado_de_el_dorado | *areaterra | 44315 | condado_de_el_dorado | codigofips | 6017] - [12.937 0.500 1.000]
89 14.437 [condado_de_el_dorado | codigofips | 6017 | condado_de_el_dorado | *areaterra | 44315] - [12.937 0.500 1.000]
90 14.363 [condado_de_cumberland_(maine) | codigofips | 23005 | condado_de_cumberland_(maine) | *area | *315321] - [12.863 0.500 1.000]
91 14.363 [condado_de_cumberland_(maine) | *area | *315321 | condado_de_cumberland_(maine) | codigofips | 23005] - [12.863 0.500 1.000]
92 14.155 [*the_code | nome | *the code | *the_code | codigoimdb | *315417] - [12.655 0.500 1.000]
93 14.155 [*the_code | website | 59 | *the_code | codigoimdb | *315417] - [12.655 0.500 1.000]
94 14.155 [*the_code | edicao | kimmo_kohtamaki | *the_code | codigoimdb | *315417] - [12.655 0.500 1.000]
95 14.155 [*the_code | titulobr | *the code | *the_code | codigoimdb | *315417] - [12.655 0.500 1.000]
96 14.155 [*the_code | codigoimdb | *315417 | *the_code | nome | *the code] - [12.655 0.500 1.000]
97 14.155 [*the_code | codigoimdb | *315417 | *the_code | idioma | lingua_inglesa] - [12.655 0.500 1.000]
98 14.155 [*the_code | codigoimdb | *315417 | *the_code | titulobr | *the code] - [12.655 0.500 1.000]
99 14.155 [*the_code | codigoimdb | *315417 | *the_code | website | 59] - [12.655 0.500 1.000]
