
Melhores respostas:
0 21.667 [*velvet_goldmine | elenco | *christian_bale] - [20.000 0.667 1.000]

Lista de triplas candidatas a resposta: 
0 21.667 [*velvet_goldmine | elenco | *christian_bale] - [20.000 0.667 1.000]
1 21.333 [the_dark_knight_rises | elenco | *christian_bale | *velvet_goldmine | elenco | *christian_bale] - [20.000 0.333 1.000]
46 21.333 [the_fighter | elenco | *christian_bale | *velvet_goldmine | elenco | *christian_bale] - [20.000 0.333 1.000]
47 21.333 [*velvet_goldmine | elenco | *christian_bale | psicopata_americano | elenco | *christian_bale] - [20.000 0.333 1.000]
48 21.333 [*velvet_goldmine | elenco | *christian_bale | cavaleiro_de_copas | elenco | *christian_bale] - [20.000 0.333 1.000]
49 21.333 [*velvet_goldmine | elenco | *christian_bale | exodus:_gods_and_kings | elenco | *christian_bale] - [20.000 0.333 1.000]
50 21.333 [*velvet_goldmine | elenco | *christian_bale | henrique_v_(filme) | elenco | *christian_bale] - [20.000 0.333 1.000]
51 21.333 [*velvet_goldmine | elenco | *christian_bale | the_dark_knight_rises | elenco | *christian_bale] - [20.000 0.333 1.000]
52 21.333 [*velvet_goldmine | elenco | *christian_bale | american_hustle | elenco | *christian_bale] - [20.000 0.333 1.000]
53 21.333 [*velvet_goldmine | elenco | *christian_bale | shaft_(2000) | elenco | *christian_bale] - [20.000 0.333 1.000]
54 21.333 [*velvet_goldmine | elenco | *christian_bale | jungle_book:_origins | elenco | *christian_bale] - [20.000 0.333 1.000]
55 21.333 [*velvet_goldmine | elenco | *christian_bale | the_fighter | elenco | *christian_bale] - [20.000 0.333 1.000]
56 21.333 [*velvet_goldmine | elenco | *christian_bale | the_machinist | elenco | *christian_bale] - [20.000 0.333 1.000]
57 21.333 [*velvet_goldmine | elenco | *christian_bale | i'm_not_there | elenco | *christian_bale] - [20.000 0.333 1.000]
58 21.333 [*velvet_goldmine | elenco | *christian_bale | batman_begins | elenco | *christian_bale] - [20.000 0.333 1.000]
59 21.333 [*velvet_goldmine | elenco | *christian_bale | the_dark_knight | elenco | *christian_bale] - [20.000 0.333 1.000]
60 21.333 [*velvet_goldmine | elenco | *christian_bale | the_prestige | elenco | *christian_bale] - [20.000 0.333 1.000]
61 21.333 [*velvet_goldmine | elenco | *christian_bale | o_novo_mundo | elenco | *christian_bale] - [20.000 0.333 1.000]
62 21.333 [3:10_to_yuma_(2007) | elenco | *christian_bale | *velvet_goldmine | elenco | *christian_bale] - [20.000 0.333 1.000]
63 21.333 [*velvet_goldmine | elenco | *christian_bale | newsies | elenco | *christian_bale] - [20.000 0.333 1.000]
64 21.333 [*velvet_goldmine | elenco | *christian_bale | laurel_canyon_(filme) | elenco | *christian_bale] - [20.000 0.333 1.000]
65 21.333 [*velvet_goldmine | elenco | *christian_bale | the_big_short | elenco | *christian_bale] - [20.000 0.333 1.000]
66 21.333 [*velvet_goldmine | elenco | *christian_bale | batman_no_cinema | elenco | *christian_bale] - [20.000 0.333 1.000]
67 21.333 [*velvet_goldmine | elenco | *christian_bale | reino_de_fogo | elenco | *christian_bale] - [20.000 0.333 1.000]
68 21.333 [*velvet_goldmine | elenco | *christian_bale | inimigos_publicos | elenco | *christian_bale] - [20.000 0.333 1.000]
69 21.333 [*velvet_goldmine | elenco | *christian_bale | equilibrium | elenco | *christian_bale] - [20.000 0.333 1.000]
70 21.333 [*velvet_goldmine | elenco | *christian_bale | imperio_do_sol_(filme) | elenco | *christian_bale] - [20.000 0.333 1.000]
71 21.333 [*velvet_goldmine | elenco | *christian_bale | pocahontas_(filme) | elenco | *christian_bale] - [20.000 0.333 1.000]
72 21.333 [*velvet_goldmine | elenco | *christian_bale | sonho_de_uma_noite_de_verao_(1999) | elenco | *christian_bale] - [20.000 0.333 1.000]
73 21.333 [*velvet_goldmine | elenco | *christian_bale | rescue_dawn | elenco | *christian_bale] - [20.000 0.333 1.000]
74 21.333 [*velvet_goldmine | elenco | *christian_bale | 3:10_to_yuma_(2007) | elenco | *christian_bale] - [20.000 0.333 1.000]
75 21.333 [the_machinist | elenco | *christian_bale | *velvet_goldmine | elenco | *christian_bale] - [20.000 0.333 1.000]
76 21.333 [i'm_not_there | elenco | *christian_bale | *velvet_goldmine | elenco | *christian_bale] - [20.000 0.333 1.000]
77 21.333 [batman_begins | elenco | *christian_bale | *velvet_goldmine | elenco | *christian_bale] - [20.000 0.333 1.000]
78 21.333 [the_dark_knight | elenco | *christian_bale | *velvet_goldmine | elenco | *christian_bale] - [20.000 0.333 1.000]
79 21.333 [the_prestige | elenco | *christian_bale | *velvet_goldmine | elenco | *christian_bale] - [20.000 0.333 1.000]
80 21.333 [o_novo_mundo | elenco | *christian_bale | *velvet_goldmine | elenco | *christian_bale] - [20.000 0.333 1.000]
81 21.333 [newsies | elenco | *christian_bale | *velvet_goldmine | elenco | *christian_bale] - [20.000 0.333 1.000]
82 21.333 [laurel_canyon_(filme) | elenco | *christian_bale | *velvet_goldmine | elenco | *christian_bale] - [20.000 0.333 1.000]
83 21.333 [the_big_short | elenco | *christian_bale | *velvet_goldmine | elenco | *christian_bale] - [20.000 0.333 1.000]
84 21.333 [psicopata_americano | elenco | *christian_bale | *velvet_goldmine | elenco | *christian_bale] - [20.000 0.333 1.000]
85 21.333 [batman_no_cinema | elenco | *christian_bale | *velvet_goldmine | elenco | *christian_bale] - [20.000 0.333 1.000]
86 21.333 [cavaleiro_de_copas | elenco | *christian_bale | *velvet_goldmine | elenco | *christian_bale] - [20.000 0.333 1.000]
87 21.333 [reino_de_fogo | elenco | *christian_bale | *velvet_goldmine | elenco | *christian_bale] - [20.000 0.333 1.000]
88 21.333 [exodus:_gods_and_kings | elenco | *christian_bale | *velvet_goldmine | elenco | *christian_bale] - [20.000 0.333 1.000]
89 21.333 [*christian_bale | imagem | --06-09 | *velvet_goldmine | elenco | *christian_bale] - [20.000 0.333 1.000]
90 21.333 [*christian_bale | goldenglobe | *melhor ator coadjuvante em cinema | *velvet_goldmine | elenco | *christian_bale] - [20.000 0.333 1.000]
91 21.333 [*christian_bale | goldenglobe | 2011 | *velvet_goldmine | elenco | *christian_bale] - [20.000 0.333 1.000]
92 21.333 [*christian_bale | sagawards | *melhor ator coadjuvante | *velvet_goldmine | elenco | *christian_bale] - [20.000 0.333 1.000]
93 21.333 [*christian_bale | sagawards | 2011 | *velvet_goldmine | elenco | *christian_bale] - [20.000 0.333 1.000]
94 21.333 [*christian_bale | sagawards | melhor elenco em cinema | *velvet_goldmine | elenco | *christian_bale] - [20.000 0.333 1.000]
95 21.333 [*christian_bale | sagawards | 2014 | *velvet_goldmine | elenco | *christian_bale] - [20.000 0.333 1.000]
96 21.333 [*christian_bale | outrospremios | *critics choice de melhor ator em comedia | *velvet_goldmine | elenco | *christian_bale] - [20.000 0.333 1.000]
97 21.333 [*velvet_goldmine | elenco | *christian_bale | *terminator_salvation | elenco | *christian_bale] - [20.000 0.333 1.000]
98 21.333 [*christian_bale | outrospremios | 2016 | *velvet_goldmine | elenco | *christian_bale] - [20.000 0.333 1.000]
99 21.333 [inimigos_publicos | elenco | *christian_bale | *velvet_goldmine | elenco | *christian_bale] - [20.000 0.333 1.000]
