
Melhores respostas:
0 15.500 [cabin_boy | *orcamento | us$ 10 milhoes | cabin_boy | *producao | *tim_burton] - [14.000 0.500 1.000]
85 13.333 [*tim_burton | imagem | file:tim burton frankenweenie 2012 2.jpg | abraham_lincoln:_vampire_hunter | *producao | *tim_burton] - [12.000 0.333 1.000]
86 13.333 [*tim_burton | tamanhoimagem | 250 | o_estranho_mundo_de_jack | *producao | *tim_burton] - [12.000 0.333 1.000]
87 13.333 [beetlejuice | direcao | *tim_burton | beetlejuice | *orcamento | us$ 15.000 milhoes] - [12.000 0.333 1.000]
88 13.333 [*tim_burton | atividade | 1982 | batman_returns | *producao | *tim_burton] - [12.000 0.333 1.000]
89 13.333 [*tim_burton | veneza | premio de honra - leao de ouro | batman_forever | *producao | *tim_burton] - [12.000 0.333 1.000]
90 13.333 [*tim_burton | veneza | 2007 | batman_forever | *producao | *tim_burton] - [12.000 0.333 1.000]
91 13.333 [*tim_burton | datanascimento | 25 | abraham_lincoln:_vampire_hunter | *producao | *tim_burton] - [12.000 0.333 1.000]
92 13.333 [*tim_burton | veneza | premio de honra - leao de ouro | o_estranho_mundo_de_jack | *producao | *tim_burton] - [12.000 0.333 1.000]
93 13.333 [*tim_burton | veneza | 2007 | o_estranho_mundo_de_jack | *producao | *tim_burton] - [12.000 0.333 1.000]
94 13.333 [*tim_burton | imagem | file:tim burton frankenweenie 2012 2.jpg | batman_forever | *producao | *tim_burton] - [12.000 0.333 1.000]
95 13.333 [*tim_burton | nomedenascimento | timothy willian burton | batman_returns | *producao | *tim_burton] - [12.000 0.333 1.000]
96 13.333 [*tim_burton | imagem | file:tim burton frankenweenie 2012 2.jpg | o_estranho_mundo_de_jack | *producao | *tim_burton] - [12.000 0.333 1.000]
97 13.333 [*tim_burton | datanascimento | 25 | batman_forever | *producao | *tim_burton] - [12.000 0.333 1.000]
98 13.333 [*tim_burton | datanascimento | 25 | o_estranho_mundo_de_jack | *producao | *tim_burton] - [12.000 0.333 1.000]
99 13.333 [*tim_burton | conjuge | helena_bonham_carter | abraham_lincoln:_vampire_hunter | *producao | *tim_burton] - [12.000 0.333 1.000]
