
Melhores respostas:
0 21.041 [convocacoes_para_a_copa_america_de_2015 | name | *neymar | convocacoes_para_a_copa_america_de_2015 | club | *real_madrid_cf] - [19.708 0.333 1.000]
26 15.303 [*neymar | *jogos(golos)_ | 230 | dados_disciplinares_da_copa_do_mundo_fifa_de_2014 | *primeiroamarelojogador | *neymar] - [14.303 0.500 0.500]
27 15.303 [*neymar | *jogos(golos)_ | 156 | dados_disciplinares_da_copa_do_mundo_fifa_de_2014 | *primeiroamarelojogador | *neymar] - [14.303 0.500 0.500]
28 13.869 [campeonato_brasileiro_de_futebol_de_2011___serie_a | *melhorjogador | *neymar] - [12.702 0.667 0.500]
29 13.869 [copa_das_confederacoes_fifa_de_2013 | *melhorjogador | *neymar] - [12.702 0.667 0.500]
30 13.760 [resultados_do_segundo_turno_do_campeonato_brasileiro_de_futebol_de_2011___serie_a | gols | *neymar | resultados_do_segundo_turno_do_campeonato_brasileiro_de_futebol_de_2011___serie_a | *jogos | 190] - [12.927 0.333 0.500]
31 13.760 [resultados_do_segundo_turno_do_campeonato_brasileiro_de_futebol_de_2011___serie_a | *jogos | 190 | resultados_do_segundo_turno_do_campeonato_brasileiro_de_futebol_de_2011___serie_a | gols | *neymar] - [12.927 0.333 0.500]
32 13.535 [*neymar | imagemtamanho | 250 | copa_das_confederacoes_fifa_de_2013 | *melhorjogador | *neymar] - [12.702 0.333 0.500]
33 13.535 [*neymar | posicao | atacante_(futebol) | campeonato_brasileiro_de_futebol_de_2011___serie_a | *melhorjogador | *neymar] - [12.702 0.333 0.500]
34 13.535 [*neymar | posicao | ponta_(futebol) | campeonato_brasileiro_de_futebol_de_2011___serie_a | *melhorjogador | *neymar] - [12.702 0.333 0.500]
35 13.535 [*neymar | jovemanos | 1998 | copa_das_confederacoes_fifa_de_2013 | *melhorjogador | *neymar] - [12.702 0.333 0.500]
36 13.535 [*neymar | ano | 2009 | copa_das_confederacoes_fifa_de_2013 | *melhorjogador | *neymar] - [12.702 0.333 0.500]
37 13.535 [*neymar | selecaonacional | brasil (sub-17) | copa_das_confederacoes_fifa_de_2013 | *melhorjogador | *neymar] - [12.702 0.333 0.500]
38 13.535 [*neymar | jovemanos | 2003 | copa_das_confederacoes_fifa_de_2013 | *melhorjogador | *neymar] - [12.702 0.333 0.500]
39 13.535 [*neymar | ano | 2013 | copa_das_confederacoes_fifa_de_2013 | *melhorjogador | *neymar] - [12.702 0.333 0.500]
40 13.535 [*neymar | selecaonacional | brasil (sub-20) | copa_das_confederacoes_fifa_de_2013 | *melhorjogador | *neymar] - [12.702 0.333 0.500]
41 13.535 [*neymar | selecaonacional | brasil (sub-23) | copa_das_confederacoes_fifa_de_2013 | *melhorjogador | *neymar] - [12.702 0.333 0.500]
42 13.535 [*neymar | cidadenatal | mogi das cruzes | campeonato_brasileiro_de_futebol_de_2011___serie_a | *melhorjogador | *neymar] - [12.702 0.333 0.500]
43 13.535 [*neymar | site | 781 | campeonato_brasileiro_de_futebol_de_2011___serie_a | *melhorjogador | *neymar] - [12.702 0.333 0.500]
44 13.535 [*neymar | pe | ambidestro | campeonato_brasileiro_de_futebol_de_2011___serie_a | *melhorjogador | *neymar] - [12.702 0.333 0.500]
45 13.535 [*neymar | posicao | atacante_(futebol) | copa_das_confederacoes_fifa_de_2013 | *melhorjogador | *neymar] - [12.702 0.333 0.500]
46 13.535 [*neymar | posicao | ponta_(futebol) | copa_das_confederacoes_fifa_de_2013 | *melhorjogador | *neymar] - [12.702 0.333 0.500]
47 13.535 [*neymar | partidasselecao | 7 | campeonato_brasileiro_de_futebol_de_2011___serie_a | *melhorjogador | *neymar] - [12.702 0.333 0.500]
48 13.535 [*neymar | partidasselecao | 3 | campeonato_brasileiro_de_futebol_de_2011___serie_a | *melhorjogador | *neymar] - [12.702 0.333 0.500]
49 13.535 [*neymar | altura | 1,74 m | campeonato_brasileiro_de_futebol_de_2011___serie_a | *melhorjogador | *neymar] - [12.702 0.333 0.500]
50 13.535 [*neymar | cidadenatal | mogi das cruzes | copa_das_confederacoes_fifa_de_2013 | *melhorjogador | *neymar] - [12.702 0.333 0.500]
51 13.535 [*neymar | site | 781 | copa_das_confederacoes_fifa_de_2013 | *melhorjogador | *neymar] - [12.702 0.333 0.500]
52 13.535 [*neymar | partidasselecao | 14 | campeonato_brasileiro_de_futebol_de_2011___serie_a | *melhorjogador | *neymar] - [12.702 0.333 0.500]
53 13.535 [*neymar | pe | ambidestro | copa_das_confederacoes_fifa_de_2013 | *melhorjogador | *neymar] - [12.702 0.333 0.500]
54 13.535 [*neymar | partidasselecao | 73 | campeonato_brasileiro_de_futebol_de_2011___serie_a | *melhorjogador | *neymar] - [12.702 0.333 0.500]
55 13.535 [*neymar | ntupdate | 6 | campeonato_brasileiro_de_futebol_de_2011___serie_a | *melhorjogador | *neymar] - [12.702 0.333 0.500]
56 13.535 [*neymar | clubenumero | 11 | campeonato_brasileiro_de_futebol_de_2011___serie_a | *melhorjogador | *neymar] - [12.702 0.333 0.500]
57 13.535 [*neymar | partidasselecao | 7 | copa_das_confederacoes_fifa_de_2013 | *melhorjogador | *neymar] - [12.702 0.333 0.500]
58 13.535 [*neymar | partidasselecao | 3 | copa_das_confederacoes_fifa_de_2013 | *melhorjogador | *neymar] - [12.702 0.333 0.500]
59 13.535 [*neymar | altura | 1,74 m | copa_das_confederacoes_fifa_de_2013 | *melhorjogador | *neymar] - [12.702 0.333 0.500]
60 13.535 [*neymar | partidasselecao | 14 | copa_das_confederacoes_fifa_de_2013 | *melhorjogador | *neymar] - [12.702 0.333 0.500]
61 13.535 [*neymar | partidasselecao | 73 | copa_das_confederacoes_fifa_de_2013 | *melhorjogador | *neymar] - [12.702 0.333 0.500]
62 13.535 [*neymar | ntupdate | 6 | copa_das_confederacoes_fifa_de_2013 | *melhorjogador | *neymar] - [12.702 0.333 0.500]
63 13.535 [*neymar | clubes | santos | campeonato_brasileiro_de_futebol_de_2011___serie_a | *melhorjogador | *neymar] - [12.702 0.333 0.500]
64 13.535 [*neymar | clubenumero | 11 | copa_das_confederacoes_fifa_de_2013 | *melhorjogador | *neymar] - [12.702 0.333 0.500]
65 13.535 [*neymar | paisnatal | brasil | campeonato_brasileiro_de_futebol_de_2011___serie_a | *melhorjogador | *neymar] - [12.702 0.333 0.500]
66 13.535 [*neymar | apelido | ney, principe do gol | campeonato_brasileiro_de_futebol_de_2011___serie_a | *melhorjogador | *neymar] - [12.702 0.333 0.500]
67 13.535 [*neymar | tupdate | 19 | campeonato_brasileiro_de_futebol_de_2011___serie_a | *melhorjogador | *neymar] - [12.702 0.333 0.500]
68 13.535 [*neymar | clubes | santos | copa_das_confederacoes_fifa_de_2013 | *melhorjogador | *neymar] - [12.702 0.333 0.500]
69 13.535 [*neymar | paisnatal | brasil | copa_das_confederacoes_fifa_de_2013 | *melhorjogador | *neymar] - [12.702 0.333 0.500]
70 13.535 [*neymar | apelido | ney, principe do gol | copa_das_confederacoes_fifa_de_2013 | *melhorjogador | *neymar] - [12.702 0.333 0.500]
71 13.535 [*neymar | tupdate | 19 | copa_das_confederacoes_fifa_de_2013 | *melhorjogador | *neymar] - [12.702 0.333 0.500]
72 13.535 [copa_das_confederacoes_fifa_de_2013 | *melhorjogador | *neymar | campeonato_brasileiro_de_futebol_de_2011___serie_a | *melhorjogador | *neymar] - [12.702 0.333 0.500]
73 13.535 [*neymar | anoselecao | 2012 | campeonato_brasileiro_de_futebol_de_2011___serie_a | *melhorjogador | *neymar] - [12.702 0.333 0.500]
74 13.535 [*neymar | anoselecao | 2010 | campeonato_brasileiro_de_futebol_de_2011___serie_a | *melhorjogador | *neymar] - [12.702 0.333 0.500]
75 13.535 [*neymar | anoselecao | 2009 | campeonato_brasileiro_de_futebol_de_2011___serie_a | *melhorjogador | *neymar] - [12.702 0.333 0.500]
76 13.535 [*neymar | anoselecao | 2011 | campeonato_brasileiro_de_futebol_de_2011___serie_a | *melhorjogador | *neymar] - [12.702 0.333 0.500]
77 13.535 [campeonato_brasileiro_de_futebol_de_2011___serie_a | *melhorjogador | *neymar | copa_das_confederacoes_fifa_de_2013 | *melhorjogador | *neymar] - [12.702 0.333 0.500]
78 13.535 [*neymar | anoselecao | 2012 | copa_das_confederacoes_fifa_de_2013 | *melhorjogador | *neymar] - [12.702 0.333 0.500]
79 13.535 [*neymar | anoselecao | 2010 | copa_das_confederacoes_fifa_de_2013 | *melhorjogador | *neymar] - [12.702 0.333 0.500]
80 13.535 [*neymar | anoselecao | 2009 | copa_das_confederacoes_fifa_de_2013 | *melhorjogador | *neymar] - [12.702 0.333 0.500]
81 13.535 [*neymar | anoselecao | 2011 | copa_das_confederacoes_fifa_de_2013 | *melhorjogador | *neymar] - [12.702 0.333 0.500]
82 13.535 [*neymar | imagemtamanho | 250 | campeonato_brasileiro_de_futebol_de_2011___serie_a | *melhorjogador | *neymar] - [12.702 0.333 0.500]
83 13.535 [*neymar | selecaonacional | brasil (sub-23) | campeonato_brasileiro_de_futebol_de_2011___serie_a | *melhorjogador | *neymar] - [12.702 0.333 0.500]
84 13.535 [*neymar | selecaonacional | brasil (sub-20) | campeonato_brasileiro_de_futebol_de_2011___serie_a | *melhorjogador | *neymar] - [12.702 0.333 0.500]
85 13.535 [*neymar | ano | 2013 | campeonato_brasileiro_de_futebol_de_2011___serie_a | *melhorjogador | *neymar] - [12.702 0.333 0.500]
86 13.535 [*neymar | jovemanos | 2003 | campeonato_brasileiro_de_futebol_de_2011___serie_a | *melhorjogador | *neymar] - [12.702 0.333 0.500]
87 13.535 [*neymar | selecaonacional | brasil (sub-17) | campeonato_brasileiro_de_futebol_de_2011___serie_a | *melhorjogador | *neymar] - [12.702 0.333 0.500]
88 13.535 [*neymar | ano | 2009 | campeonato_brasileiro_de_futebol_de_2011___serie_a | *melhorjogador | *neymar] - [12.702 0.333 0.500]
89 13.535 [*neymar | jovemanos | 1998 | campeonato_brasileiro_de_futebol_de_2011___serie_a | *melhorjogador | *neymar] - [12.702 0.333 0.500]
90 13.422 [copa_america_de_2011 | *jogos | 26 | copa_america_de_2011 | gols | *neymar ,] - [12.589 0.333 0.500]
91 13.422 [copa_america_de_2011 | gols | *neymar , | copa_america_de_2011 | *jogos | 26] - [12.589 0.333 0.500]
92 13.406 [*neymar | *jogos(golos)_ | 230] - [12.240 0.667 0.500]
93 13.406 [*neymar | *jogos(golos)_ | 156] - [12.240 0.667 0.500]
94 13.258 [estadio_estadual_jornalista_edgar_augusto_proenca | *jogorecorde | remo 1x0 paysandu | estadio_estadual_jornalista_edgar_augusto_proenca | gols | *neymar] - [12.425 0.333 0.500]
95 13.258 [estadio_estadual_jornalista_edgar_augusto_proenca | gols | *neymar | estadio_estadual_jornalista_edgar_augusto_proenca | *jogorecorde | remo 1x0 paysandu] - [12.425 0.333 0.500]
96 13.230 [dados_disciplinares_da_copa_do_mundo_fifa_de_2014 | *primeiroamarelojogador | *neymar] - [12.063 0.667 0.500]
97 13.217 [estadio_santiago_bernabeu | *jogoinauguracao | *real_madrid] - [12.050 0.667 0.500]
98 13.166 [copa_libertadores_da_america_de_2011 | *publicojogos | 138 | copa_libertadores_da_america_de_2011 | gols | *neymar] - [12.333 0.333 0.500]
99 13.166 [copa_libertadores_da_america_de_2011 | gols | *neymar | copa_libertadores_da_america_de_2011 | *publicojogos | 138] - [12.333 0.333 0.500]
