
Melhores respostas:
0 14.366 [*russia | *tipogoverno | semipresidencialismo | *sputnik_(agencia_de_noticias) | local | *russia] - [12.866 0.500 1.000]
48 13.209 [*russia | *tipogoverno | semipresidencialismo | soslan_ramonov | localnascimento | *russia] - [11.876 0.333 1.000]
49 13.209 [*russia | *tipogoverno | semipresidencialismo | friazino | pais | *russia] - [11.876 0.333 1.000]
50 13.209 [*russia | *tipogoverno | semipresidencialismo | roman_vlasov | localnascimento | *russia] - [11.876 0.333 1.000]
51 13.209 [*russia | *tipogoverno | semipresidencialismo | igor_andreyevich_polyanski | localnascimento | *russia] - [11.876 0.333 1.000]
52 13.209 [*russia | *tipogoverno | semipresidencialismo | nataliya_vorobyova | localnascimento | *russia] - [11.876 0.333 1.000]
53 13.209 [*russia | *tipogoverno | republica | ivan_deryugin | localmorte | *russia] - [11.876 0.333 1.000]
54 13.209 [*russia | *tipogoverno | semipresidencialismo | viacheslav_krasilnikov | localnascimento | *russia] - [11.876 0.333 1.000]
55 13.209 [*russia | *tipogoverno | republica | vybiti | pais | *russia] - [11.876 0.333 1.000]
56 13.209 [*russia | *tipogoverno | semipresidencialismo | fk_ventspils | nat | *russia] - [11.876 0.333 1.000]
57 13.209 [*russia | *tipogoverno | semipresidencialismo | nina_anisimova | localnascimento | *russia] - [11.876 0.333 1.000]
58 13.209 [*russia | *tipogoverno | republica | kazsat_3 | cobertura | *russia] - [11.876 0.333 1.000]
59 13.209 [*russia | *tipogoverno | semipresidencialismo | natalia_lavrova | localmorte | *russia] - [11.876 0.333 1.000]
60 13.209 [*russia | *tipogoverno | semipresidencialismo | ronda_1_de_gp2_series_de_2009 | segundopais | *russia] - [11.876 0.333 1.000]
61 13.209 [*russia | *tipogoverno | semipresidencialismo | hermann_dahlke | localmorte | *russia] - [11.876 0.333 1.000]
62 13.209 [*russia | *tipogoverno | republica | noguinsk | pais | *russia] - [11.876 0.333 1.000]
63 13.209 [*russia | *tipogoverno | republica | ramzan_kadyrov | lealdade | *russia] - [11.876 0.333 1.000]
64 13.209 [*russia | wikcionario | *russia | *russia | *tipogoverno | semipresidencialismo] - [11.876 0.333 1.000]
65 13.209 [*russia | *tipogoverno | semipresidencialismo | evgenia_romanyuta | nascimentolocal | *russia] - [11.876 0.333 1.000]
66 13.209 [*russia | wikcionario | *russia | *russia | *tipogoverno | republica] - [11.876 0.333 1.000]
67 13.209 [*russia | *tipogoverno | semipresidencialismo | vladislav_borisov | nascimentolocal | *russia] - [11.876 0.333 1.000]
68 13.209 [*russia | *tipogoverno | semipresidencialismo | dinastia_de_vasa | pais | *russia] - [11.876 0.333 1.000]
69 13.209 [*russia | *tipogoverno | semipresidencialismo | jekabs_bukse | mortelocal | *russia] - [11.876 0.333 1.000]
70 13.209 [*russia | *tipogoverno | semipresidencialismo | oksana_grishina | nascimentolocal | *russia] - [11.876 0.333 1.000]
71 13.209 [*russia | *tipogoverno | republica | vlada_chigireva | localnascimento | *russia] - [11.876 0.333 1.000]
72 13.209 [*russia | *tipogoverno | republica | soslan_ramonov | localnascimento | *russia] - [11.876 0.333 1.000]
73 13.209 [*russia | *tipogoverno | republica | friazino | pais | *russia] - [11.876 0.333 1.000]
74 13.209 [*russia | *tipogoverno | semipresidencialismo | nikolay_trusov | nascimentolocal | *russia] - [11.876 0.333 1.000]
75 13.209 [*russia | *tipogoverno | republica | roman_vlasov | localnascimento | *russia] - [11.876 0.333 1.000]
76 13.209 [*russia | *tipogoverno | semipresidencialismo | smash!! | pais | *russia] - [11.876 0.333 1.000]
77 13.209 [*russia | *tipogoverno | republica | igor_andreyevich_polyanski | localnascimento | *russia] - [11.876 0.333 1.000]
78 13.209 [*russia | *tipogoverno | republica | nataliya_vorobyova | localnascimento | *russia] - [11.876 0.333 1.000]
79 13.209 [*russia | *tipogoverno | republica | viacheslav_krasilnikov | localnascimento | *russia] - [11.876 0.333 1.000]
80 13.209 [*russia | *tipogoverno | semipresidencialismo | ksenia_pervak | residencia | *russia] - [11.876 0.333 1.000]
81 13.209 [*russia | *tipogoverno | semipresidencialismo | dinastia_romanov | wikinoticias | *russia] - [11.876 0.333 1.000]
82 13.209 [*russia | *tipogoverno | republica | nina_anisimova | localnascimento | *russia] - [11.876 0.333 1.000]
83 13.209 [*russia | *tipogoverno | republica | fk_ventspils | nat | *russia] - [11.876 0.333 1.000]
84 13.209 [*russia | *tipogoverno | semipresidencialismo | republica_chechena_da_ichkeria | pais | *russia] - [11.876 0.333 1.000]
85 13.209 [*russia | *tipogoverno | republica | ronda_1_de_gp2_series_de_2009 | segundopais | *russia] - [11.876 0.333 1.000]
86 13.209 [*russia | *tipogoverno | republica | natalia_lavrova | localmorte | *russia] - [11.876 0.333 1.000]
87 13.209 [*russia | *tipogoverno | republica | hermann_dahlke | localmorte | *russia] - [11.876 0.333 1.000]
88 13.209 [*russia | *tipogoverno | republica | evgenia_romanyuta | nascimentolocal | *russia] - [11.876 0.333 1.000]
89 13.209 [*russia | *tipogoverno | republica | vladislav_borisov | nascimentolocal | *russia] - [11.876 0.333 1.000]
90 13.209 [*russia | *tipogoverno | republica | dinastia_de_vasa | pais | *russia] - [11.876 0.333 1.000]
91 13.209 [*russia | *tipogoverno | republica | oksana_grishina | nascimentolocal | *russia] - [11.876 0.333 1.000]
92 13.209 [*russia | *tipogoverno | republica | jekabs_bukse | mortelocal | *russia] - [11.876 0.333 1.000]
93 13.209 [*russia | *tipogoverno | republica | nikolay_trusov | nascimentolocal | *russia] - [11.876 0.333 1.000]
94 13.209 [*russia | *tipogoverno | republica | smash!! | pais | *russia] - [11.876 0.333 1.000]
95 13.209 [*russia | *tipogoverno | republica | ksenia_pervak | residencia | *russia] - [11.876 0.333 1.000]
96 13.209 [*russia | *tipogoverno | semipresidencialismo | alania | pais | *russia] - [11.876 0.333 1.000]
97 13.209 [*russia | *tipogoverno | republica | republica_chechena_da_ichkeria | pais | *russia] - [11.876 0.333 1.000]
98 13.209 [*russia | *tipogoverno | semipresidencialismo | aleksandr_ivanchenkov | localnascimento | *russia] - [11.876 0.333 1.000]
99 13.209 [*russia | *tipogoverno | republica | dinastia_romanov | wikinoticias | *russia] - [11.876 0.333 1.000]
