
Melhores respostas:
0 4.427 [*cacau_show | produtos | *chocolates] - [3.760 0.667 0.000]

Lista de triplas candidatas a resposta: 
0 4.427 [*cacau_show | produtos | *chocolates] - [3.760 0.667 0.000]
1 4.287 [marilan | produtos | *chocolates | marilan | produtos | *biscoitos] - [3.953 0.333 0.000]
83 4.083 [*coffeen | y | 5 | *cocoa_west | y | 5] - [3.750 0.333 0.000]
84 4.083 [*cocoa_west | scale | 400 | *coffeen | scale | 400] - [3.750 0.333 0.000]
85 4.083 [*cocoa_west | areaagua | 0 | *coffeen | areaagua | 0] - [3.750 0.333 0.000]
86 4.083 [*coffeen | text | 20 | *cocoa_west | text | 20] - [3.750 0.333 0.000]
87 4.083 [*coffeen | x | 5 | *cocoa_west | x | 5] - [3.750 0.333 0.000]
88 4.083 [*coffeen | latp | n | *cocoa_west | latp | n] - [3.750 0.333 0.000]
89 4.083 [*lumberport | lonp | w | *coffeen | lonp | w] - [3.750 0.333 0.000]
90 4.083 [*lumberport | coordtitulo | s | *coffeen | coordtitulo | s] - [3.750 0.333 0.000]
91 4.083 [*lumberport | latg | 39 | *coffeen | latg | 39] - [3.750 0.333 0.000]
92 4.083 [*coffeen | latg | 39 | *lumberport | latg | 39] - [3.750 0.333 0.000]
93 4.083 [*coffeen | coordtitulo | s | *lumberport | coordtitulo | s] - [3.750 0.333 0.000]
94 4.083 [*coffeen | lonp | w | *lumberport | lonp | w] - [3.750 0.333 0.000]
95 4.083 [*lumberport | scale | 400 | *coffeen | scale | 400] - [3.750 0.333 0.000]
96 4.083 [*lumberport | areaagua | 0 | *coffeen | areaagua | 0] - [3.750 0.333 0.000]
97 4.083 [*coffeen | scale | 400 | *lumberport | scale | 400] - [3.750 0.333 0.000]
98 4.083 [*coffeen | areaagua | 0 | *lumberport | areaagua | 0] - [3.750 0.333 0.000]
99 4.083 [*coffeen | lonp | w | *cocoa_west | lonp | w] - [3.750 0.333 0.000]
