
Melhores respostas:
0 14.667 [*batman | *criador | bob_kane] - [13.000 0.667 1.000]
61 11.333 [*batman | codenomes | o maior detetive do mundo] - [10.000 0.333 1.000]
62 11.333 [jason_todd | parceiros | *batman] - [10.000 0.333 1.000]
63 11.333 [superpateta | amigo | *batman] - [10.000 0.333 1.000]
64 11.333 [*batman | desenhistas | [[#equipe criativa] - [10.000 0.333 1.000]
65 11.333 [*batman | desenhistas | michael turner] - [10.000 0.333 1.000]
66 11.333 [the_world's_greatest_super_heroes | personagens | *batman] - [10.000 0.333 1.000]
67 11.333 [*batman | desenhistas | ethan van sciver] - [10.000 0.333 1.000]
68 11.333 [*batman | desenhistas | ed_mcguinness] - [10.000 0.333 1.000]
69 11.333 [*batman | publicacao | dc_comics] - [10.000 0.333 1.000]
70 11.333 [o_reino_do_amanha | personagens | *batman] - [10.000 0.333 1.000]
71 11.333 [*batman | commonscat | *batman] - [10.000 0.333 1.000]
72 11.333 [*batman | nomereal | bruce_wayne] - [10.000 0.333 1.000]
73 11.333 [*batman | descricao | desenho por jim lee e pintura por scott williams] - [10.000 0.333 1.000]
74 11.333 [*batman | poderes | * pico da forca humana\n* pico da velocidade humana\n* pico da resistencia humana\n* pico da agilidade humana\n* pico da visao humana\n* pico do olfato humano\n* pico da audicao humana\n* especialista em acrobacias\n* conhecimento aperfeicoado\n* eximio artista marcial\n* mestre em qualquer tipo de arma ou arsenal\n* eximio hacker\n* mestre em violacao\n* atirador excepcional\n* intelecto genial \n* poliglota\n* estrategista mestre\n* mestre em fugas\n* eximio piloto\n* especialista e mestre em perseguicao\n* mestre em disfarces e ilusao\n* eximio mecanico\n* leitura labial\n* pico dos reflexos humanos\n* inventor mestre\n* mestre em sistemas de computador e de veiculos\n* mestre em preparacao\n* eximio lider\n* mestre em todas as areas profissionais de trabalho\n* cerebro altamente acelerado\n* habilidades de interrogatorio\n* cansaco mais lento\n* habilidades de persuasao \n* invisibilidade nas trevas e em ambientes\n* causa pavor nos inimigos com o olhar \n* pico do folego humano\n* pico do sentido sensorial humano\n* pico do metabolismo humano\n* metre em taticas de guerrilha totalmente aperfeicoadas\n* possui treinamento militar altamente aperfeicoado\n* uma especie de comunicacao com morcegos\n* uma especie de resistencia a certos tipos de magia\n* nunca desiste] - [10.000 0.333 1.000]
75 11.333 [mulher_maravilha | parceiros | *batman] - [10.000 0.333 1.000]
76 11.333 [*batman | personagens | *batman] - [10.000 0.333 1.000]
77 11.333 [detective_comics | personagens | *batman] - [10.000 0.333 1.000]
78 11.333 [*batman | personagens | superman] - [10.000 0.333 1.000]
79 11.333 [*batman | roteiro | jeph_loeb] - [10.000 0.333 1.000]
80 11.333 [*batman | roteiro | mark verheiden] - [10.000 0.333 1.000]
81 11.333 [*batman | roteiro | alan burnett] - [10.000 0.333 1.000]
82 11.333 [terra_de_ninguem_(dc_comics) | personagens | *batman] - [10.000 0.333 1.000]
83 11.333 [dick_grayson | codenomes | *batman] - [10.000 0.333 1.000]
84 11.333 [*batman | nome | *batman] - [10.000 0.333 1.000]
85 11.333 [detective_comics_27 | personagens | *batman] - [10.000 0.333 1.000]
86 11.333 [*batman | width | 20.0] - [10.000 0.333 1.000]
87 11.333 [superman | inimigos | *batman] - [10.000 0.333 1.000]
88 11.333 [renegados_(dc_comics) | membros | *batman] - [10.000 0.333 1.000]
89 11.333 [*batman | source | - jeph loeb, em 2002, sobre o conceito da revista.] - [10.000 0.333 1.000]
90 11.333 [*batman | align | left] - [10.000 0.333 1.000]
91 11.333 [arkham_asylum:_a_serious_house_on_serious_earth | personagens | *batman] - [10.000 0.333 1.000]
92 11.333 [starman | personagens | *batman] - [10.000 0.333 1.000]
93 11.333 [superman_composto | inimigos | *batman] - [10.000 0.333 1.000]
94 11.333 [frank_miller | trabalhosdedestaque | *batman] - [10.000 0.333 1.000]
95 11.333 [*batman | terranatal | gotham_city] - [10.000 0.333 1.000]
96 11.333 [trindade_(revista_em_quadrinhos) | personagens | *batman] - [10.000 0.333 1.000]
97 11.333 [*batman | parceiros | alfred_pennyworth] - [10.000 0.333 1.000]
98 11.333 [*batman | wikiquote | *batman] - [10.000 0.333 1.000]
99 11.333 [*batman | parceiros | batgirl] - [10.000 0.333 1.000]
